step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
578,PAYMENT,850.46,C413362349,93619.0,92768.54,M2058104990,0.0,0.0
578,PAYMENT,976.31,C691740820,2734.0,1757.69,M471928963,0.0,0.0
578,PAYMENT,1308.28,C524608938,6375.0,5066.72,M74911260,0.0,0.0
578,PAYMENT,5401.88,C1949872518,5066.72,0.0,M1611207306,0.0,0.0
578,PAYMENT,279.47,C1482216084,10190.0,9910.53,M1692606573,0.0,0.0
578,PAYMENT,2325.91,C1441143286,82501.0,80175.09,M2111036546,0.0,0.0
578,CASH_IN,157015.73,C1661038046,80175.09,237190.82,C185936538,1299605.61,1142589.88
578,CASH_IN,113457.28,C513591707,237190.82,350648.1,C1052536640,717982.71,604525.42
578,CASH_IN,311683.0,C2068859415,350648.1,662331.1,C1586311661,579976.37,268293.37
578,CASH_IN,41127.5,C411348531,662331.1,703458.6,C1921347317,375276.79,334149.29
578,CASH_IN,674908.16,C1887657824,703458.6,1378366.76,C900773234,4529852.65,3854944.48
578,CASH_IN,179226.75,C145461498,1378366.76,1557593.52,C729207408,870742.89,691516.13
578,CASH_IN,39379.79,C1909617418,1557593.52,1596973.31,C748438949,419201.44,379821.64
578,CASH_IN,132008.55,C1276816949,1596973.31,1728981.86,C198773993,146326.96,14318.41
578,CASH_IN,265099.03,C638095497,1728981.86,1994080.89,C1205130978,481007.29,215908.26
578,CASH_IN,136591.78,C1928390898,1994080.89,2130672.67,C274187567,286269.41,149677.62
578,CASH_IN,47875.47,C282627973,2130672.67,2178548.14,C331029041,4257597.08,4209721.61
578,CASH_IN,75835.58,C162193581,2178548.14,2254383.72,C1848818372,2252570.86,2176735.28
578,CASH_IN,4271.59,C1808053705,2254383.72,2258655.3,C348672697,155515.95,151244.36
578,CASH_IN,99478.79,C512124731,2258655.3,2358134.1,C685374018,7308661.19,7209182.4
578,CASH_IN,124701.49,C1257662409,2358134.1,2482835.59,C1160301797,2179479.47,2054777.97
578,CASH_IN,501447.93,C336026034,2482835.59,2984283.53,C1583377755,2591919.08,2090471.15
578,CASH_IN,52771.13,C1520688134,2984283.53,3037054.66,C1470379039,4235560.09,4182788.96
578,CASH_IN,78759.84,C1999755222,3037054.66,3115814.5,C1852717538,3692839.62,3614079.77
578,CASH_IN,32186.65,C243285718,3115814.5,3148001.15,C1075215296,129444.06,97257.42
578,CASH_IN,65229.25,C551828605,3148001.15,3213230.4,C960370238,79031.95,13802.69
