step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
731,TRANSFER,31887.18,C1764583028,31887.18,0.0,C252274322,0.0,0.0
731,CASH_OUT,31887.18,C30896720,31887.18,0.0,C1159359491,4584085.52,4615972.7
731,TRANSFER,147186.94,C1013069669,147186.94,0.0,C1655602731,0.0,0.0
731,CASH_OUT,147186.94,C1225675649,147186.94,0.0,C1599626479,15982.05,163168.99
731,TRANSFER,302227.56,C648990331,302227.56,0.0,C1204258741,0.0,0.0
731,CASH_OUT,302227.56,C1814350435,302227.56,0.0,C51409599,1125769.87,1427997.43
731,TRANSFER,219934.26,C1104155037,219934.26,0.0,C852180070,0.0,0.0
731,CASH_OUT,219934.26,C2054799485,219934.26,0.0,C997585991,0.0,219934.26
731,TRANSFER,81677.17,C712250463,81677.17,0.0,C1291785655,0.0,0.0
731,CASH_OUT,81677.17,C1623831712,81677.17,0.0,C538679361,130887.69,212564.86
731,TRANSFER,429359.76,C567545309,429359.76,0.0,C741413300,0.0,0.0
731,CASH_OUT,429359.76,C362433458,429359.76,0.0,C1092024343,1973585.31,2402945.07
731,TRANSFER,508929.61,C533095346,508929.61,0.0,C1301226150,0.0,0.0
731,CASH_OUT,508929.61,C839366750,508929.61,0.0,C1367621087,161576.15,670505.76
731,TRANSFER,219275.19,C868020518,219275.19,0.0,C1828774978,0.0,0.0
731,CASH_OUT,219275.19,C1950153528,219275.19,0.0,C1184845365,743229.99,962505.19
