step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
211,CASH_OUT,1915.34,C140301736,53700.0,51784.66,C187190964,897559.86,899475.2
211,PAYMENT,7472.91,C1330649643,51784.66,44311.75,M1004134419,0.0,0.0
211,CASH_IN,215950.28,C1614990253,365296.0,581246.28,C654731590,2575736.7,2359786.42
211,PAYMENT,9383.53,C249406360,581246.28,571862.75,M1091789098,0.0,0.0
211,CASH_OUT,70036.47,C893306979,7713.0,0.0,C1568538856,6372120.99,6442157.46
211,CASH_OUT,70674.59,C1129800394,42518.0,0.0,C1153728488,1700117.25,1770791.84
211,CASH_OUT,63492.86,C544594011,92594.0,29101.14,C232704663,887875.8,951368.66
211,PAYMENT,10280.03,C2058745678,29101.14,18821.11,M965428651,0.0,0.0
211,PAYMENT,2324.71,C1102192994,18821.11,16496.39,M1334545935,0.0,0.0
211,PAYMENT,2404.94,C449908535,16496.39,14091.45,M2039789531,0.0,0.0
211,PAYMENT,3444.31,C696066234,14091.45,10647.14,M982857836,0.0,0.0
211,PAYMENT,9840.45,C682569918,10647.14,806.69,M1960407071,0.0,0.0
211,PAYMENT,40459.31,C887224014,806.69,0.0,M665124454,0.0,0.0
211,PAYMENT,1414.85,C1994330348,0.0,0.0,M1228525472,0.0,0.0
211,PAYMENT,4138.94,C1918175183,0.0,0.0,M1912766509,0.0,0.0
211,PAYMENT,48453.13,C2094315249,0.0,0.0,M2073506308,0.0,0.0
211,PAYMENT,6487.14,C564537798,0.0,0.0,M1195623991,0.0,0.0
211,CASH_OUT,195613.68,C519668496,2202.0,0.0,C1297572559,0.0,195613.68
211,PAYMENT,6709.27,C1547474393,21410.0,14700.73,M1287946113,0.0,0.0
211,CASH_OUT,10620.74,C359623248,8538.0,0.0,C1851185935,180311.45,190932.19
211,TRANSFER,462210.59,C1197247214,0.0,0.0,C3058910,1167526.34,1629736.92
211,TRANSFER,592336.08,C2146852225,0.0,0.0,C858453141,873758.69,1466094.77
211,TRANSFER,80149.81,C270601609,0.0,0.0,C1618024942,207556.37,287706.19
211,TRANSFER,384767.07,C2121455671,0.0,0.0,C922579836,1198133.75,1582900.82
211,TRANSFER,1427561.58,C1566189293,0.0,0.0,C431064173,2476025.27,3903586.85
211,TRANSFER,2638324.87,C269312658,0.0,0.0,C2057424626,3331995.2,5970320.07
211,TRANSFER,1088656.57,C140011615,0.0,0.0,C695300200,1232464.8,2321121.37
211,TRANSFER,407195.08,C1610856963,0.0,0.0,C1811809404,1805489.65,2212684.73
211,TRANSFER,80810.47,C1826784672,0.0,0.0,C962195274,155659.94,236470.42
211,TRANSFER,605194.69,C394290012,0.0,0.0,C1270512008,853073.83,1458268.52
211,TRANSFER,775395.47,C1548872547,0.0,0.0,C1669245541,1912850.17,2688245.64
211,TRANSFER,506269.81,C562004296,0.0,0.0,C17468875,1607224.77,2113494.58
211,TRANSFER,549319.53,C1506332482,0.0,0.0,C1130995521,1387003.96,1936323.49
211,TRANSFER,731319.26,C1296489892,0.0,0.0,C1396288178,1386925.1,2118244.36
211,TRANSFER,141427.74,C505359772,0.0,0.0,C2143402312,1451306.11,1592733.85
211,TRANSFER,3705.48,C1136106198,0.0,0.0,C175399319,1785220.62,1788926.1
211,TRANSFER,34245.84,C1545269053,0.0,0.0,C1475858105,842221.23,876467.07
211,TRANSFER,95842.66,C667591399,0.0,0.0,C1523351795,3862170.74,3958013.4
211,CASH_OUT,33062.74,C1079904335,25240.0,0.0,C698406721,2086602.95,2119665.69
211,TRANSFER,284002.84,C1061178296,80110.0,0.0,C1790694907,0.0,284002.84
211,CASH_OUT,42242.01,C875047018,0.0,0.0,C1199069584,3767691.64,3809933.64
211,CASH_OUT,250414.09,C1174890898,21196.0,0.0,C1994484354,806337.83,1056751.93
211,PAYMENT,3778.84,C1990925677,0.0,0.0,M1267434891,0.0,0.0
211,PAYMENT,9965.87,C1049993192,0.0,0.0,M1126378065,0.0,0.0
211,PAYMENT,10569.93,C1833764653,51427.0,40857.07,M2063425746,0.0,0.0
211,CASH_OUT,219061.57,C1745210042,16556.0,0.0,C1068610892,0.0,219061.57
211,CASH_OUT,26434.63,C850269257,10092.0,0.0,C953128586,0.0,26434.63
211,PAYMENT,2757.07,C928979294,94149.0,91391.93,M649401495,0.0,0.0
211,CASH_OUT,76588.66,C1621318369,91391.93,14803.28,C35501757,117653.18,194241.83
211,CASH_OUT,78660.26,C577570528,7347.0,0.0,C1711683163,1274717.97,1353378.23
211,CASH_OUT,147862.12,C1832349210,198177.0,50314.88,C708760196,1391433.39,1539295.51
211,PAYMENT,6818.98,C1672011399,52588.0,45769.02,M430367809,0.0,0.0
211,CASH_IN,291863.35,C1396091795,6089.0,297952.35,C1985664112,224525.54,0.0
211,CASH_IN,304819.18,C94853201,1589.0,306408.18,C2144597437,5536891.2,5232072.02
211,TRANSFER,318344.48,C543093380,49346.0,0.0,C301453570,2549667.55,2868012.03
211,PAYMENT,1385.0,C242523682,107057.0,105672.0,M1761138252,0.0,0.0
211,CASH_OUT,119377.02,C1461874386,105672.0,0.0,C1062250224,374608.05,493985.06
