step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
148,TRANSFER,3733104.07,C492529807,3733104.07,0.0,C863881747,0.0,0.0
148,CASH_OUT,3733104.07,C379244982,3733104.07,0.0,C1160379813,452523.69,4185627.77
148,TRANSFER,677563.22,C380436221,677563.22,0.0,C390478316,0.0,0.0
148,CASH_OUT,677563.22,C2082620262,677563.22,0.0,C492841836,5725307.68,6402870.9
148,TRANSFER,208630.6,C981156733,208630.6,0.0,C1127756392,0.0,0.0
148,CASH_OUT,208630.6,C2049716965,208630.6,0.0,C1560676019,337304.83,545935.44
148,TRANSFER,99168.97,C193359947,99168.97,0.0,C1492417626,0.0,0.0
148,CASH_OUT,99168.97,C1708206894,99168.97,0.0,C1422044374,360.3,99529.27
148,TRANSFER,288032.02,C1287690661,288032.02,0.0,C89259074,0.0,0.0
148,CASH_OUT,288032.02,C44622712,288032.02,0.0,C1601170327,0.0,288032.02
148,TRANSFER,394886.13,C1107493587,394886.13,0.0,C1252635926,0.0,0.0
148,CASH_OUT,394886.13,C1897206044,394886.13,0.0,C398205372,840653.68,1235539.81
