step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
596,CASH_IN,145988.55,C587825574,29478.0,175466.55,C388319905,8495018.14,8349029.59
596,CASH_OUT,11185.94,C845520261,29823.0,18637.06,C297085439,0.0,11185.94
596,CASH_OUT,285264.27,C704086280,72313.0,0.0,C844556604,0.0,285264.27
596,PAYMENT,5962.45,C749354151,51625.0,45662.55,M1136761893,0.0,0.0
596,PAYMENT,12209.43,C1574353005,45662.55,33453.12,M1220316446,0.0,0.0
596,CASH_OUT,124530.66,C890167210,629773.0,505242.34,C1870027905,2996509.47,3121040.12
596,PAYMENT,4749.24,C2061585818,505242.34,500493.1,M303863675,0.0,0.0
596,CASH_OUT,80615.61,C1055145051,28035.0,0.0,C278408496,305206.45,385822.06
596,PAYMENT,3327.25,C2102675362,0.0,0.0,M220813327,0.0,0.0
596,CASH_IN,204207.7,C2071503262,22762.0,226969.7,C1213633945,117865.11,0.0
596,PAYMENT,8117.57,C1684098126,10356.0,2238.43,M1003978295,0.0,0.0
596,CASH_OUT,160494.25,C2096734306,5071.0,0.0,C1826897336,1822125.57,1982619.82
596,CASH_OUT,58061.52,C1110673970,23370.0,0.0,C415511180,0.0,58061.52
596,PAYMENT,5038.4,C744402182,0.0,0.0,M746084476,0.0,0.0
596,CASH_IN,248161.06,C489883425,39784.0,287945.06,C131340193,119716.59,0.0
596,PAYMENT,3558.89,C1125088431,287945.06,284386.17,M442556245,0.0,0.0
596,CASH_OUT,99734.09,C1958076381,10415.0,0.0,C78185977,1049101.78,1148835.87
596,CASH_OUT,31678.52,C1899680869,5097.0,0.0,C1987013036,0.0,31678.52
596,CASH_IN,5971.83,C1239950569,360.0,6331.83,C1243350517,0.0,0.0
596,PAYMENT,9836.05,C1433325814,21838.0,12001.95,M268416689,0.0,0.0
596,TRANSFER,41515.84,C675402455,22306.0,0.0,C996751485,0.0,41515.84
596,PAYMENT,804.03,C537293914,72962.0,72157.97,M55372236,0.0,0.0
596,PAYMENT,13869.8,C1911856426,72157.97,58288.16,M1459961513,0.0,0.0
596,CASH_OUT,148015.38,C1144136887,5006.0,0.0,C4549098,128949.83,276965.22
596,PAYMENT,3174.46,C542418804,5775.0,2600.54,M1964798873,0.0,0.0
596,PAYMENT,6134.28,C185793509,2600.54,0.0,M1590714796,0.0,0.0
596,PAYMENT,2255.05,C1530528261,5560.0,3304.95,M1294737984,0.0,0.0
596,CASH_OUT,24407.24,C1375548883,3304.95,0.0,C1118290215,713882.33,738289.57
596,CASH_OUT,388350.54,C217965377,0.0,0.0,C1742598626,1107759.7,1496110.24
596,PAYMENT,657.63,C131920625,104421.0,103763.37,M734985832,0.0,0.0
596,PAYMENT,7717.41,C321197423,103763.37,96045.96,M1889606561,0.0,0.0
596,PAYMENT,15348.76,C277488702,162648.0,147299.24,M1282123257,0.0,0.0
596,TRANSFER,66221.7,C2011062134,54430.0,0.0,C855086770,152060.41,218282.11
596,CASH_IN,90934.45,C265956927,64.0,90998.45,C2121459771,435118.14,344183.69
596,CASH_OUT,31814.24,C1311785006,110581.0,78766.76,C116750305,181318.59,213132.84
596,PAYMENT,4657.6,C1608872060,59809.0,55151.4,M1522905369,0.0,0.0
596,CASH_OUT,236275.04,C70305704,55151.4,0.0,C1695722646,6142521.39,6378796.43
596,CASH_OUT,229703.99,C1213056560,15836.0,0.0,C1202273798,343172.26,572876.25
596,PAYMENT,3442.55,C1012873685,0.0,0.0,M1264912958,0.0,0.0
596,PAYMENT,1069.08,C1240107389,0.0,0.0,M1873848886,0.0,0.0
596,PAYMENT,5332.32,C719632260,216581.0,211248.68,M1236499484,0.0,0.0
596,CASH_IN,200488.16,C1418704182,112688.0,313176.16,C854712710,6241541.78,6041053.62
596,PAYMENT,4147.23,C1040471179,80600.0,76452.77,M827559000,0.0,0.0
596,CASH_OUT,285245.89,C1674728946,1257.0,0.0,C2112137818,1084914.83,1370160.73
596,CASH_OUT,178286.01,C1247640251,299485.0,121198.99,C1042395265,258391.43,436677.44
596,CASH_OUT,346634.35,C1449250679,207.0,0.0,C1928221309,196209.12,542843.48
596,PAYMENT,1800.84,C2071836847,0.0,0.0,M183570423,0.0,0.0
596,PAYMENT,3014.89,C727200944,0.0,0.0,M1931103451,0.0,0.0
596,CASH_IN,131206.59,C1697917655,2085.0,133291.59,C1309565315,7296.96,0.0
596,PAYMENT,6623.91,C1740119857,29874.0,23250.09,M221207234,0.0,0.0
596,PAYMENT,2176.67,C745714472,21355.0,19178.33,M1758742243,0.0,0.0
596,TRANSFER,314843.62,C1328713055,20646.0,0.0,C1009036787,2064026.77,2378870.39
596,PAYMENT,8280.63,C951858993,0.0,0.0,M32385277,0.0,0.0
596,PAYMENT,35469.71,C1262978429,0.0,0.0,M281325887,0.0,0.0
596,PAYMENT,10572.3,C1226312105,0.0,0.0,M960592311,0.0,0.0
596,PAYMENT,47092.29,C1322942351,0.0,0.0,M2074239522,0.0,0.0
596,PAYMENT,10684.14,C1929275838,0.0,0.0,M1077951127,0.0,0.0
596,PAYMENT,21144.24,C1568342807,0.0,0.0,M891345384,0.0,0.0
596,PAYMENT,6531.65,C882046315,0.0,0.0,M1976034796,0.0,0.0
596,PAYMENT,15333.93,C1889608696,0.0,0.0,M1132284829,0.0,0.0
596,PAYMENT,9238.94,C1625802548,0.0,0.0,M717596225,0.0,0.0
596,PAYMENT,2457.44,C1401089538,0.0,0.0,M2055890508,0.0,0.0
596,PAYMENT,7194.62,C604688462,0.0,0.0,M595234080,0.0,0.0
596,CASH_IN,99724.44,C1741460915,283671.0,383395.44,C1967141358,0.0,0.0
596,TRANSFER,441093.48,C1314731776,43.0,0.0,C918690588,0.0,441093.48
596,PAYMENT,9731.2,C1017579045,0.0,0.0,M1271107356,0.0,0.0
596,CASH_IN,125795.72,C1210186458,29358.0,155153.72,C1204905072,99426.79,0.0
596,PAYMENT,47643.63,C1877156329,155153.72,107510.09,M1810994206,0.0,0.0
596,CASH_IN,12227.06,C1016945939,1513.0,13740.06,C222849426,160279.16,148052.11
596,PAYMENT,7922.83,C2066581360,13740.06,5817.22,M230100373,0.0,0.0
596,CASH_OUT,533076.27,C1786853721,875728.0,342651.73,C2043583949,119529.87,652606.14
596,TRANSFER,355367.55,C1008895199,5035.0,0.0,C918886801,0.0,355367.55
596,PAYMENT,4159.63,C723747372,90941.0,86781.37,M508422520,0.0,0.0
596,CASH_OUT,74649.02,C2103791641,204102.0,129452.98,C254899021,0.0,74649.02
596,CASH_IN,69063.9,C1439246102,59665.0,128728.9,C124517408,1255346.03,1186282.13
596,CASH_IN,179867.67,C1649208673,9510.0,189377.67,C1972596608,279644.06,99776.39
596,CASH_OUT,98962.5,C322686585,189377.67,90415.17,C1045930008,145008.32,243970.82
596,CASH_OUT,154156.31,C1149874591,90415.17,0.0,C1700070777,532583.24,686739.55
596,PAYMENT,7846.19,C1491394447,50077.0,42230.81,M1573258775,0.0,0.0
596,CASH_OUT,159597.74,C272847824,42230.81,0.0,C1393408143,1321852.38,1481450.12
596,PAYMENT,3721.5,C424615182,211236.0,207514.5,M1739170063,0.0,0.0
596,PAYMENT,5892.99,C179500371,81070.0,75177.01,M6683142,0.0,0.0
596,TRANSFER,24000.11,C1638084713,75177.01,51176.9,C411451611,2603343.83,2627343.94
596,TRANSFER,1581016.28,C1269318795,51176.9,0.0,C1436420884,2007257.58,3588273.86
596,PAYMENT,9981.64,C1445800128,401828.0,391846.36,M2042060233,0.0,0.0
596,CASH_OUT,191559.06,C32443118,13322.0,0.0,C1112603234,0.0,191559.06
596,PAYMENT,5897.06,C149592644,1401.0,0.0,M935250097,0.0,0.0
596,PAYMENT,7642.08,C1948553882,0.0,0.0,M233135754,0.0,0.0
596,PAYMENT,2371.07,C1359076808,54963.0,52591.93,M280722457,0.0,0.0
596,PAYMENT,4664.02,C1079745750,52591.93,47927.91,M1735236441,0.0,0.0
596,PAYMENT,6884.9,C945681889,47927.91,41043.0,M1934433607,0.0,0.0
596,PAYMENT,14392.19,C1877770964,41043.0,26650.82,M1691380515,0.0,0.0
596,PAYMENT,11800.26,C871725221,26650.82,14850.56,M675937465,0.0,0.0
596,PAYMENT,41459.49,C599269702,14850.56,0.0,M1146543969,0.0,0.0
596,PAYMENT,12346.39,C1560196894,0.0,0.0,M993342476,0.0,0.0
596,PAYMENT,12599.49,C1499824189,0.0,0.0,M725283239,0.0,0.0
596,PAYMENT,11637.19,C39183769,0.0,0.0,M282211467,0.0,0.0
596,PAYMENT,16796.46,C1707289284,0.0,0.0,M419973138,0.0,0.0
596,PAYMENT,18720.8,C878448519,0.0,0.0,M892011499,0.0,0.0
596,PAYMENT,51.43,C1229097600,0.0,0.0,M315691874,0.0,0.0
596,PAYMENT,3616.36,C1185224328,0.0,0.0,M729571820,0.0,0.0
596,PAYMENT,5809.61,C1983379593,0.0,0.0,M1818738478,0.0,0.0
596,PAYMENT,7392.23,C43578748,0.0,0.0,M1243846594,0.0,0.0
596,PAYMENT,10816.37,C52026815,0.0,0.0,M1389796413,0.0,0.0
596,PAYMENT,1765.14,C396402702,0.0,0.0,M1097574591,0.0,0.0
596,PAYMENT,1276.52,C215113992,0.0,0.0,M1786983387,0.0,0.0
596,PAYMENT,4811.03,C2024889941,0.0,0.0,M1677930412,0.0,0.0
596,PAYMENT,155.93,C2076624901,0.0,0.0,M136847693,0.0,0.0
596,PAYMENT,4053.96,C2056885739,76172.0,72118.04,M119192411,0.0,0.0
596,PAYMENT,17189.34,C1246879069,22651.0,5461.66,M54177555,0.0,0.0
596,CASH_IN,34212.83,C893011026,5461.66,39674.49,C1567612417,131094.78,96881.95
596,CASH_IN,308926.83,C1730736589,39674.49,348601.33,C91631878,925978.66,617051.83
596,CASH_IN,276187.67,C601322304,348601.33,624789.0,C305306935,8128719.81,7852532.14
596,CASH_IN,208822.23,C1975714334,624789.0,833611.23,C1599332872,1231379.87,1022557.64
596,CASH_IN,65998.23,C314359840,833611.23,899609.46,C777202840,363127.1,297128.87
596,CASH_IN,304533.07,C842726691,899609.46,1204142.52,C1882431567,2120488.65,1815955.58
596,CASH_IN,133212.46,C720356695,1204142.52,1337354.99,C658332814,3176365.02,3043152.56
596,CASH_IN,242355.98,C1196552678,1337354.99,1579710.97,C64764812,558292.58,315936.59
596,CASH_IN,216653.15,C857249004,1579710.97,1796364.13,C772070337,1982603.68,1765950.53
596,CASH_IN,46295.71,C1445897289,1796364.13,1842659.84,C886573698,376406.39,330110.67
596,CASH_IN,20234.55,C37684902,1842659.84,1862894.39,C2121953545,46645.4,26410.85
596,CASH_IN,76233.41,C1252596166,1862894.39,1939127.8,C431096437,916037.35,839803.94
596,CASH_IN,270052.22,C1038179211,1939127.8,2209180.02,C1874150773,1.439912999E7,1.412907777E7
596,CASH_IN,7308.29,C508472466,2209180.02,2216488.31,C147695808,301331.23,294022.94
596,CASH_IN,144483.91,C1690211275,2216488.31,2360972.22,C646843411,1383398.65,1238914.73
