step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
436,PAYMENT,1187.84,C1475898499,9025.0,7837.16,M1728279274,0.0,0.0
436,TRANSFER,1532229.72,C338287923,1532229.72,0.0,C522956447,0.0,0.0
436,CASH_OUT,1532229.72,C685396140,1532229.72,0.0,C961098321,89278.84,1621508.56
436,DEBIT,1792.47,C1020443968,24778.0,22985.53,C1290477085,979942.95,981735.42
436,PAYMENT,723.14,C1077550098,79585.0,78861.86,M446726499,0.0,0.0
436,CASH_OUT,232308.6,C1611005355,78861.86,0.0,C900598937,1743264.62,1975573.22
436,CASH_OUT,222651.39,C1226077270,0.0,0.0,C217100602,3.727598696E7,3.749863835E7
436,CASH_OUT,233839.93,C1507732458,0.0,0.0,C338704786,366215.23,600055.16
436,CASH_OUT,70440.64,C1206587947,0.0,0.0,C1711395412,1107019.34,1177459.98
436,CASH_OUT,70077.15,C139216856,0.0,0.0,C1827728869,143764.61,213841.76
436,CASH_OUT,70034.12,C1645225027,0.0,0.0,C1480551989,302778.46,372812.58
436,CASH_OUT,158872.67,C1245303440,0.0,0.0,C819534331,612419.13,771291.8
436,TRANSFER,59841.44,C1440545718,59841.44,0.0,C1822077806,0.0,0.0
436,CASH_OUT,59841.44,C1061422162,59841.44,0.0,C1799894308,0.0,59841.44
436,PAYMENT,438.71,C1553276357,125020.0,124581.29,M1480386965,0.0,0.0
436,PAYMENT,3779.4,C1787799663,124581.29,120801.89,M1970685944,0.0,0.0
436,PAYMENT,1193.18,C33097638,120801.89,119608.71,M1043736141,0.0,0.0
436,PAYMENT,594.69,C695024948,4893.0,4298.31,M1860429414,0.0,0.0
436,PAYMENT,3128.88,C661526571,330.0,0.0,M686118597,0.0,0.0
436,PAYMENT,1396.69,C1755404912,936.0,0.0,M419451348,0.0,0.0
436,PAYMENT,33477.01,C1324924319,0.0,0.0,M1277794811,0.0,0.0
436,PAYMENT,810.97,C775497940,1026.0,215.03,M900481590,0.0,0.0
436,PAYMENT,1869.74,C1043531097,557.0,0.0,M1045800229,0.0,0.0
436,PAYMENT,755.56,C1498236339,11938.0,11182.44,M237441374,0.0,0.0
436,PAYMENT,482.53,C681100302,49506.0,49023.47,M1006051509,0.0,0.0
436,PAYMENT,2179.75,C136612517,71.0,0.0,M1052755742,0.0,0.0
436,PAYMENT,1549.44,C1349110899,45420.0,43870.56,M1385806915,0.0,0.0
436,PAYMENT,740.81,C2126800151,546.0,0.0,M1048828646,0.0,0.0
436,PAYMENT,1192.77,C546804497,719.0,0.0,M1064524004,0.0,0.0
436,PAYMENT,1079.4,C1656909504,20375.0,19295.6,M1110891668,0.0,0.0
436,PAYMENT,1622.36,C1579536600,2095.0,472.64,M2067007360,0.0,0.0
436,DEBIT,7686.64,C183620168,36780.0,29093.36,C2080207538,349221.51,356908.15
436,PAYMENT,1518.94,C2119663102,70169.0,68650.06,M235192828,0.0,0.0
436,CASH_OUT,393346.03,C1440210875,68650.06,0.0,C1510928019,1813605.48,2206951.51
436,CASH_OUT,305911.75,C1362109659,0.0,0.0,C1131276166,9370604.11,9676515.85
436,CASH_OUT,170101.74,C340593550,0.0,0.0,C745991190,1985639.23,2155740.97
436,CASH_OUT,253537.99,C1022239706,0.0,0.0,C1045177911,2089614.28,2343152.27
436,PAYMENT,144.21,C1462704635,25606.0,25461.79,M124385593,0.0,0.0
436,PAYMENT,867.83,C2063897377,15203.0,14335.17,M909746024,0.0,0.0
436,CASH_OUT,501503.81,C435595413,14335.17,0.0,C1054771725,4030931.24,4532435.05
436,PAYMENT,1549.44,C1360931491,191007.0,189457.56,M249312826,0.0,0.0
436,PAYMENT,355.8,C1952725590,39875.0,39519.2,M1492817487,0.0,0.0
