step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
406,CASH_IN,118845.9,C243217668,11035.0,129880.9,C1500651595,1857699.29,1738853.39
406,PAYMENT,11458.82,C427617335,129880.9,118422.07,M799276026,0.0,0.0
406,CASH_OUT,214548.55,C105070079,11254.0,0.0,C1171373650,420610.36,635158.91
406,PAYMENT,13626.18,C1902378790,0.0,0.0,M251701353,0.0,0.0
406,PAYMENT,27585.27,C1062006360,0.0,0.0,M553619595,0.0,0.0
406,PAYMENT,4378.35,C1317785981,0.0,0.0,M1145207589,0.0,0.0
406,PAYMENT,12169.52,C480539611,0.0,0.0,M1082376972,0.0,0.0
406,PAYMENT,7196.49,C1351873112,0.0,0.0,M132067388,0.0,0.0
406,PAYMENT,681.17,C953856439,0.0,0.0,M1713348099,0.0,0.0
406,PAYMENT,2790.17,C701608362,0.0,0.0,M1475426940,0.0,0.0
406,PAYMENT,9521.75,C986410556,0.0,0.0,M540934368,0.0,0.0
406,PAYMENT,8360.61,C80132524,0.0,0.0,M1513771410,0.0,0.0
406,PAYMENT,51585.67,C1004629607,0.0,0.0,M1795707131,0.0,0.0
406,PAYMENT,2214.85,C1521655791,0.0,0.0,M1384965098,0.0,0.0
406,PAYMENT,23550.15,C1647197578,0.0,0.0,M1258825404,0.0,0.0
406,PAYMENT,13559.17,C93029845,0.0,0.0,M816690493,0.0,0.0
406,PAYMENT,10624.27,C603725007,0.0,0.0,M701232074,0.0,0.0
406,PAYMENT,18984.32,C1891069451,0.0,0.0,M770587005,0.0,0.0
406,PAYMENT,28707.55,C1857503851,0.0,0.0,M404011476,0.0,0.0
406,PAYMENT,44993.91,C1394105323,0.0,0.0,M258057508,0.0,0.0
406,PAYMENT,22112.33,C1527847609,38202.0,16089.67,M1727447574,0.0,0.0
406,PAYMENT,4544.13,C2006981152,105764.0,101219.87,M1978325365,0.0,0.0
406,PAYMENT,5403.52,C645775779,101219.87,95816.35,M1993036040,0.0,0.0
406,PAYMENT,15725.37,C30225643,46041.0,30315.63,M584017110,0.0,0.0
