step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
597,TRANSFER,120380.34,C1410985693,32087.0,0.0,C1951210361,0.0,120380.34
597,PAYMENT,6021.07,C1813036822,21.0,0.0,M1054627109,0.0,0.0
597,TRANSFER,92037.9,C299745807,35251.0,0.0,C1330261588,0.0,92037.9
597,PAYMENT,6619.87,C170506735,27281.0,20661.13,M1671978931,0.0,0.0
597,CASH_OUT,191650.04,C1065442206,442.0,0.0,C1687983286,0.0,191650.04
597,CASH_OUT,3588.26,C1077095387,15774.0,12185.74,C1892068638,248975.48,252563.74
597,CASH_OUT,84510.38,C127010035,53031.0,0.0,C976668247,0.0,84510.38
597,PAYMENT,424.78,C652646005,72763.0,72338.22,M328098972,0.0,0.0
597,CASH_OUT,41844.49,C1245378757,35376.0,0.0,C2117059683,1722097.66,1763942.15
597,CASH_OUT,61520.62,C1561905389,2583.0,0.0,C498727243,208888.43,270409.06
597,CASH_OUT,15333.68,C1331668997,52663.0,37329.32,C2114415857,0.0,15333.68
597,CASH_IN,199583.67,C798330870,21676.0,221259.67,C394629256,69427.37,0.0
597,PAYMENT,16186.3,C846505489,1002.0,0.0,M699424530,0.0,0.0
597,PAYMENT,10734.11,C454940065,0.0,0.0,M410256139,0.0,0.0
597,PAYMENT,3593.16,C262634042,360.0,0.0,M616889363,0.0,0.0
597,PAYMENT,13139.06,C1367447031,0.0,0.0,M1775614103,0.0,0.0
597,CASH_OUT,48762.81,C1570208061,30321.0,0.0,C393452526,1291941.91,1340704.72
597,PAYMENT,3715.31,C1588601592,34502.0,30786.69,M54737652,0.0,0.0
597,DEBIT,586.18,C1192635147,849.0,262.82,C34804982,1281344.33,1281930.51
597,PAYMENT,10949.68,C556723269,423.0,0.0,M2127998330,0.0,0.0
597,TRANSFER,258992.24,C1683533006,27418.0,0.0,C1827345516,209645.85,468638.09
597,TRANSFER,85768.39,C316710205,246.0,0.0,C241092082,0.0,85768.39
597,CASH_OUT,133621.99,C1157236704,109128.0,0.0,C1035611872,0.0,133621.99
597,PAYMENT,3480.0,C260890488,30786.0,27306.0,M773012635,0.0,0.0
597,PAYMENT,5591.97,C948720913,88632.0,83040.03,M744329447,0.0,0.0
597,PAYMENT,4731.63,C1162083595,50569.0,45837.37,M1921246940,0.0,0.0
597,CASH_OUT,83396.32,C687673664,11552.0,0.0,C280218207,271174.81,354571.13
597,CASH_OUT,281265.89,C1759995408,0.0,0.0,C131810499,607536.89,888802.79
597,PAYMENT,402.07,C840332706,1035.0,632.93,M1607389242,0.0,0.0
597,CASH_OUT,105875.17,C528067986,632.93,0.0,C957669455,1101485.27,1207360.44
597,CASH_OUT,449473.79,C1283301259,0.0,0.0,C1237353213,4639261.66,5088735.45
597,CASH_IN,42942.19,C1304910019,170003.0,212945.19,C590609450,319625.42,276683.23
597,PAYMENT,5609.42,C1679887937,116855.0,111245.58,M921053802,0.0,0.0
597,CASH_IN,185729.47,C373783290,108489.0,294218.47,C1484557304,295462.82,109733.35
597,PAYMENT,1918.82,C1639000497,294218.47,292299.65,M227438784,0.0,0.0
597,PAYMENT,4311.84,C180141665,31314.0,27002.16,M662803814,0.0,0.0
597,CASH_OUT,155803.02,C1335217286,8090.0,0.0,C1927715837,2165143.73,2320946.75
597,PAYMENT,1575.93,C837004740,80521.0,78945.07,M1589854767,0.0,0.0
597,PAYMENT,7974.95,C1975703092,78945.07,70970.12,M340968950,0.0,0.0
597,CASH_IN,76270.85,C947115829,55406.0,131676.85,C1533275870,0.0,0.0
597,CASH_OUT,236835.8,C2087008302,131676.85,0.0,C1324233015,262549.22,499385.02
597,PAYMENT,10074.0,C536158944,11434.0,1360.0,M495593885,0.0,0.0
597,PAYMENT,3570.1,C1004969830,2640.0,0.0,M1855415420,0.0,0.0
597,CASH_OUT,192257.96,C1489217900,105715.0,0.0,C368320343,1781390.82,1973648.78
597,CASH_OUT,259477.0,C340374824,0.0,0.0,C1800908612,1688761.08,1948238.07
597,PAYMENT,6296.15,C467342696,428977.0,422680.85,M1320822507,0.0,0.0
597,PAYMENT,10048.38,C200769177,16205.0,6156.62,M1389259322,0.0,0.0
597,CASH_OUT,197933.66,C293426526,80059.0,0.0,C981120551,1107642.97,1305576.63
597,CASH_IN,77994.29,C250586340,16019.0,94013.29,C1939885377,201807.54,123813.25
597,CASH_OUT,166449.0,C1046220822,51225.0,0.0,C171161696,0.0,166449.0
597,PAYMENT,550.7,C526525021,21320.0,20769.3,M1682854730,0.0,0.0
597,PAYMENT,8281.13,C401933219,910121.0,901839.87,M1232563691,0.0,0.0
597,PAYMENT,1604.53,C1191824978,901839.87,900235.34,M1363870202,0.0,0.0
597,PAYMENT,3534.8,C1855780971,900235.34,896700.54,M485939302,0.0,0.0
597,PAYMENT,13858.88,C352648948,896700.54,882841.66,M474577279,0.0,0.0
597,PAYMENT,18681.46,C362779965,882841.66,864160.2,M1056983552,0.0,0.0
597,PAYMENT,3874.84,C222425162,864160.2,860285.36,M1511322140,0.0,0.0
597,PAYMENT,14138.21,C868983326,860285.36,846147.16,M237420077,0.0,0.0
597,PAYMENT,31664.33,C216517635,846147.16,814482.83,M1897810833,0.0,0.0
597,PAYMENT,25491.08,C531356926,814482.83,788991.75,M617074416,0.0,0.0
597,PAYMENT,16423.1,C384997823,788991.75,772568.65,M364055091,0.0,0.0
597,PAYMENT,3827.52,C1413380183,772568.65,768741.13,M1318358126,0.0,0.0
597,PAYMENT,5814.32,C1286200162,768741.13,762926.81,M1095148118,0.0,0.0
597,PAYMENT,14434.26,C1713215209,762926.81,748492.55,M201359800,0.0,0.0
597,PAYMENT,12052.1,C242235793,748492.55,736440.46,M2052095515,0.0,0.0
597,PAYMENT,9700.53,C1894778214,736440.46,726739.92,M2029340545,0.0,0.0
597,PAYMENT,5690.35,C2009482687,127965.0,122274.65,M245325306,0.0,0.0
597,CASH_OUT,98851.0,C2125771386,145101.0,46250.0,C103462378,0.0,98851.0
597,PAYMENT,5609.16,C749677410,619064.0,613454.84,M1770092789,0.0,0.0
597,PAYMENT,3429.63,C486906034,270.0,0.0,M1182391818,0.0,0.0
