step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
192,PAYMENT,7591.53,C1035553125,39212.0,31620.47,M79327486,0.0,0.0
192,PAYMENT,2927.28,C1358128204,245.0,0.0,M1042220485,0.0,0.0
192,CASH_IN,181525.31,C1234866434,60143.0,241668.31,C850806232,442586.83,261061.51
192,PAYMENT,7635.69,C510666063,241668.31,234032.62,M1433068489,0.0,0.0
192,PAYMENT,6816.61,C329119116,11440.0,4623.39,M236090492,0.0,0.0
192,PAYMENT,2457.21,C290943660,9222.0,6764.79,M320974820,0.0,0.0
192,PAYMENT,651.0,C1869351321,6675.0,6024.0,M1916805532,0.0,0.0
192,DEBIT,5695.83,C1479077738,47695.0,41999.17,C2130271758,1528494.64,1534190.46
192,PAYMENT,251.84,C1181234436,40342.0,40090.16,M1229446289,0.0,0.0
192,PAYMENT,5209.12,C989354212,24611.0,19401.88,M632595310,0.0,0.0
192,PAYMENT,5683.8,C577987273,39695.0,34011.2,M1437040962,0.0,0.0
192,PAYMENT,7674.84,C769711210,24376.0,16701.16,M760198507,0.0,0.0
192,CASH_OUT,167008.38,C336850721,29856.0,0.0,C1419747669,786448.66,953457.04
192,CASH_IN,171131.29,C2102903152,125004.0,296135.29,C761699921,9418050.79,9246919.51
192,CASH_OUT,141578.79,C1459568956,212.0,0.0,C952373375,1225247.57,1366826.36
192,PAYMENT,10513.93,C113988197,55432.0,44918.07,M229302138,0.0,0.0
192,CASH_OUT,184541.86,C1312146430,44918.07,0.0,C1150804100,2620573.22,2805115.09
192,PAYMENT,2359.25,C1659866533,1343.0,0.0,M1055634407,0.0,0.0
192,PAYMENT,5927.88,C1709308495,20435.0,14507.12,M95158078,0.0,0.0
192,PAYMENT,6168.59,C465029259,110673.0,104504.41,M2015376529,0.0,0.0
192,PAYMENT,1221.57,C318347864,11359.0,10137.43,M1215415606,0.0,0.0
192,CASH_OUT,14613.08,C1831321379,112354.0,97740.92,C2106480285,897249.73,911862.82
192,PAYMENT,9103.7,C341478058,10838.0,1734.3,M1253042467,0.0,0.0
192,PAYMENT,3540.23,C212978997,52209.0,48668.77,M1547679015,0.0,0.0
