step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
577,PAYMENT,1491.33,C2100405203,303626.0,302134.67,M397403945,0.0,0.0
577,PAYMENT,2781.68,C791215528,302134.67,299352.99,M1143547070,0.0,0.0
577,PAYMENT,1783.32,C888551635,158251.0,156467.68,M1552422859,0.0,0.0
577,CASH_OUT,152013.53,C883254351,156467.68,4454.16,C373045804,196365.98,348379.51
577,PAYMENT,1206.42,C967092913,110.0,0.0,M1016147446,0.0,0.0
577,PAYMENT,319.37,C549143520,35036.0,34716.63,M1067699364,0.0,0.0
577,PAYMENT,6438.84,C600709315,191.0,0.0,M369455057,0.0,0.0
577,PAYMENT,21082.93,C1826331314,0.0,0.0,M1295822177,0.0,0.0
577,PAYMENT,10611.23,C518503429,0.0,0.0,M589374447,0.0,0.0
577,PAYMENT,283.17,C320811827,105230.0,104946.83,M996201364,0.0,0.0
577,PAYMENT,2745.53,C407132009,104946.83,102201.3,M852500949,0.0,0.0
577,PAYMENT,6092.0,C1480329751,1754.0,0.0,M1702727415,0.0,0.0
577,PAYMENT,3933.24,C1597534766,42440.0,38506.76,M1817521813,0.0,0.0
577,PAYMENT,2887.29,C1417801146,38506.76,35619.46,M1568857067,0.0,0.0
577,PAYMENT,3156.71,C1102543735,11850.0,8693.29,M80987218,0.0,0.0
577,TRANSFER,681525.62,C1600390479,681525.62,0.0,C909892782,0.0,0.0
577,CASH_OUT,681525.62,C343064779,681525.62,0.0,C851594091,2250319.57,2931845.19
577,PAYMENT,10288.22,C1852079601,30939.0,20650.78,M1955579195,0.0,0.0
577,CASH_OUT,105884.96,C188672152,11967.0,0.0,C1296580099,0.0,105884.96
577,CASH_OUT,155151.17,C155714988,0.0,0.0,C2050675330,212399.69,367550.86
577,CASH_OUT,138417.57,C1141799553,0.0,0.0,C110594004,1222470.44,1360888.01
577,CASH_OUT,215557.17,C1310906662,0.0,0.0,C389486031,2037490.28,2253047.45
577,CASH_OUT,259449.73,C849642066,0.0,0.0,C197049505,1072483.62,1331933.36
577,CASH_OUT,170608.89,C2072548559,0.0,0.0,C1809042185,2386229.97,2556838.87
577,DEBIT,2696.78,C1290085197,124623.0,121926.22,C2130947455,20462.02,23158.8
577,CASH_OUT,177536.67,C341190686,121926.22,0.0,C1089490175,707217.81,884754.48
577,DEBIT,1635.49,C41324244,150616.0,148980.51,C1485643244,350615.04,352250.53
577,CASH_OUT,81175.2,C1038572729,148980.51,67805.31,C1810121408,1505186.49,1586361.7
577,CASH_OUT,109725.98,C1484648195,53969.0,0.0,C1952645197,0.0,109725.98
577,CASH_OUT,127815.61,C2110663370,30296.0,0.0,C624908586,310765.15,438580.76
577,PAYMENT,8829.6,C1274551177,0.0,0.0,M1291687131,0.0,0.0
577,PAYMENT,16753.97,C2068807600,0.0,0.0,M2002489961,0.0,0.0
577,PAYMENT,3069.0,C2088041304,334.0,0.0,M1544549185,0.0,0.0
577,PAYMENT,7050.64,C1555932559,10774.0,3723.36,M2002693291,0.0,0.0
577,PAYMENT,5704.73,C749414179,12205.0,6500.27,M261970956,0.0,0.0
577,PAYMENT,109.36,C1044189613,4231.0,4121.64,M1006950709,0.0,0.0
577,PAYMENT,3002.42,C1231254441,31237.0,28234.58,M754658229,0.0,0.0
577,PAYMENT,1192.99,C2057168894,6645.0,5452.01,M1615480041,0.0,0.0
577,PAYMENT,21616.77,C845585778,5452.01,0.0,M1194704392,0.0,0.0
577,PAYMENT,226.37,C1384256263,520581.0,520354.63,M1616734386,0.0,0.0
577,PAYMENT,5713.07,C1725359302,10928.0,5214.93,M209310698,0.0,0.0
577,PAYMENT,5802.82,C1319232329,120778.0,114975.18,M1160911575,0.0,0.0
577,CASH_OUT,240550.15,C336803427,114975.18,0.0,C1921525370,917059.97,1157610.13
577,DEBIT,3622.7,C1446461832,69092.0,65469.3,C554097697,94890.76,98513.46
577,CASH_OUT,108309.31,C390945708,65469.3,0.0,C383694880,1.59000953E7,1.600840461E7
577,PAYMENT,1776.24,C1115426608,268.0,0.0,M1339132210,0.0,0.0
577,CASH_IN,248330.37,C587643457,198771.0,447101.37,C919370885,235464.99,0.0
577,PAYMENT,7286.44,C1584072118,29779.0,22492.56,M2093778116,0.0,0.0
577,DEBIT,786.08,C1066867318,7179.0,6392.92,C1707654410,33629.52,34415.59
577,CASH_IN,93722.23,C701856631,20572.0,114294.23,C2017943443,1138896.16,1045173.93
577,TRANSFER,33604.8,C798334286,464764.0,431159.2,C1829943457,830941.73,864546.52
577,PAYMENT,5372.38,C937936604,16458.0,11085.62,M807677692,0.0,0.0
577,TRANSFER,119970.9,C841545036,60472.0,0.0,C891096465,1384455.84,1504426.74
577,CASH_IN,499215.01,C827617706,0.0,499215.01,C1910690922,1083008.92,583793.91
577,CASH_IN,218374.97,C948736122,499215.01,717589.98,C2000898499,1216417.85,998042.88
577,CASH_IN,68722.54,C692984409,717589.98,786312.53,C1168840275,3293589.96,3224867.41
577,CASH_IN,392740.14,C1547241641,786312.53,1179052.67,C322856618,2004585.99,1611845.85
577,CASH_IN,162105.49,C1324542885,1179052.67,1341158.15,C1698681658,345723.79,183618.3
577,CASH_IN,978.37,C304201025,1341158.15,1342136.52,C2070961462,2011792.77,2010814.41
577,CASH_IN,70205.17,C1273295246,1342136.52,1412341.69,C1414908261,174744.24,104539.07
577,CASH_IN,370827.79,C1603060763,1412341.69,1783169.47,C1102144644,583935.22,213107.43
577,CASH_IN,420243.36,C108700556,1783169.47,2203412.84,C346975238,986573.21,566329.85
577,CASH_IN,401125.95,C430890423,2203412.84,2604538.79,C1109369447,3837619.65,3436493.7
577,CASH_IN,81499.12,C1974089613,2604538.79,2686037.91,C127823236,614755.21,533256.09
577,CASH_IN,52667.13,C1279232319,2686037.91,2738705.04,C43959650,966490.1,913822.97
577,CASH_IN,131933.66,C529147383,2738705.04,2870638.7,C1034092576,349964.08,218030.42
577,CASH_IN,362109.85,C1889931476,2870638.7,3232748.56,C488678851,401799.26,39689.41
577,CASH_IN,123888.25,C1419003666,3232748.56,3356636.8,C1704200190,143290.91,19402.67
577,CASH_IN,393768.19,C1683118798,3356636.8,3750404.99,C1904424628,2881246.27,2487478.09
577,CASH_IN,31213.28,C708406830,3750404.99,3781618.26,C1016063458,252488.13,221274.85
577,CASH_IN,151752.77,C1792666381,3781618.26,3933371.04,C1710829331,1694399.42,1542646.65
577,CASH_IN,300640.02,C469998995,3933371.04,4234011.06,C656972774,982048.12,681408.1
577,CASH_IN,196640.89,C1785802999,4234011.06,4430651.95,C1624968134,3070163.15,2873522.27
577,CASH_IN,215484.56,C190348169,4430651.95,4646136.5,C477483092,272804.31,57319.75
577,CASH_IN,404806.48,C779905132,4646136.5,5050942.98,C613211704,592811.81,188005.33
577,CASH_IN,147775.6,C781420341,5050942.98,5198718.58,C1445927671,676871.4,529095.8
577,CASH_IN,546060.23,C1292303512,5198718.58,5744778.81,C881135766,934419.75,388359.52
577,CASH_IN,181977.07,C97141378,5744778.81,5926755.88,C1075868970,939682.29,757705.22
577,CASH_IN,73545.57,C1211659615,5926755.88,6000301.45,C2035931630,6404145.65,6330600.08
577,CASH_IN,88604.98,C2048977218,6000301.45,6088906.43,C675027871,326156.55,237551.57
577,CASH_IN,294305.82,C12073122,6088906.43,6383212.25,C118290827,976711.28,682405.46
577,CASH_IN,70929.27,C1462875237,6383212.25,6454141.52,C304662606,6539347.89,6468418.63
577,CASH_IN,84993.36,C1554555217,6454141.52,6539134.88,C1183637715,158055.66,73062.3
577,CASH_IN,142856.7,C566180223,6539134.88,6681991.58,C964253448,182704.18,39847.48
577,CASH_IN,92425.24,C1610836162,6681991.58,6774416.82,C1552294798,1645121.47,1552696.22
577,CASH_IN,32170.93,C978025019,6774416.82,6806587.76,C282845284,40870.5,8699.56
577,CASH_IN,289078.71,C602994186,6806587.76,7095666.46,C201314864,1196465.67,907386.97
577,CASH_IN,133343.14,C2069645258,7095666.46,7229009.61,C66311798,244832.99,111489.85
577,DEBIT,468.9,C14837019,10340.0,9871.1,C1006270469,578343.31,578812.21
577,PAYMENT,16.45,C1629052318,182.0,165.55,M1174255377,0.0,0.0
577,PAYMENT,7061.84,C1552341619,4039.0,0.0,M1331672645,0.0,0.0
577,TRANSFER,141730.2,C1677850525,141730.2,0.0,C607738036,0.0,0.0
577,CASH_OUT,141730.2,C1282179379,141730.2,0.0,C1943218565,439133.62,580863.82
577,PAYMENT,1142.51,C651403151,554.0,0.0,M336394382,0.0,0.0
577,PAYMENT,2268.94,C2145011853,7085.0,4816.06,M1469524828,0.0,0.0
577,PAYMENT,4678.32,C1837300166,4816.06,137.74,M515482736,0.0,0.0
577,PAYMENT,4639.82,C856299786,195.0,0.0,M1571363324,0.0,0.0
577,CASH_IN,230452.57,C656381766,0.0,230452.57,C640008319,8137240.85,7906788.28
577,CASH_IN,4474.94,C1951809009,230452.57,234927.5,C1547560399,57781.73,53306.8
577,CASH_IN,271313.39,C402110520,234927.5,506240.9,C2044953974,1373515.76,1102202.37
577,CASH_IN,116479.76,C42214851,506240.9,622720.65,C738863498,4380373.92,4263894.17
577,CASH_IN,132994.64,C1501177714,622720.65,755715.3,C2041619779,5741931.05,5608936.41
577,CASH_IN,54058.35,C470163481,755715.3,809773.65,C433570583,7002155.16,6948096.82
577,CASH_IN,11341.53,C916094425,809773.65,821115.18,C1910254961,62656.76,51315.23
577,CASH_IN,304285.74,C353627380,821115.18,1125400.92,C1238845824,465882.91,161597.17
577,CASH_IN,351919.13,C500832403,1125400.92,1477320.04,C751411028,6932370.22,6580451.1
577,CASH_IN,80159.38,C812770777,1477320.04,1557479.42,C1158338496,936648.42,856489.04
577,CASH_IN,178157.64,C1440752315,1557479.42,1735637.06,C1368108635,287589.09,109431.45
