step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
727,TRANSFER,815384.83,C1145249863,815384.83,0.0,C1054116323,0.0,0.0
727,CASH_OUT,815384.83,C1882634733,815384.83,0.0,C1883460887,1620575.26,2435960.09
727,TRANSFER,6377401.2,C1366321878,6377401.2,0.0,C1565876576,0.0,0.0
727,CASH_OUT,6377401.2,C413383017,6377401.2,0.0,C1128848871,0.0,6377401.2
727,TRANSFER,124582.58,C651444933,124582.58,0.0,C1161818914,0.0,0.0
727,CASH_OUT,124582.58,C1098290230,124582.58,0.0,C1739564153,320485.06,445067.64
727,TRANSFER,263401.81,C806437930,263401.81,0.0,C1469754483,0.0,0.0
727,CASH_OUT,263401.81,C850961884,263401.81,0.0,C1203132980,251586.8,514988.6
727,TRANSFER,69039.64,C922622756,69039.64,0.0,C417851521,0.0,0.0
727,CASH_OUT,69039.64,C1130163945,69039.64,0.0,C1975233272,983882.79,1052922.43
727,TRANSFER,276298.49,C2044117692,276298.49,0.0,C71460104,0.0,0.0
727,CASH_OUT,276298.49,C238489119,276298.49,0.0,C2127664545,598892.69,875191.19
