step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
409,PAYMENT,3502.5,C668582411,41911.0,38408.5,M581144276,0.0,0.0
409,PAYMENT,13292.15,C152122242,38408.5,25116.35,M783360034,0.0,0.0
409,PAYMENT,4516.12,C1200715365,88.0,0.0,M2038076781,0.0,0.0
409,PAYMENT,3318.67,C2046239971,11372.0,8053.33,M1591786447,0.0,0.0
409,TRANSFER,57167.58,C311348264,20892.0,0.0,C1477062066,251977.47,309145.04
409,CASH_OUT,136398.48,C1064493801,300013.0,163614.52,C882644953,64292.32,200690.8
409,CASH_IN,138560.64,C2145520088,163614.52,302175.15,C413957103,1084484.14,945923.5
409,CASH_IN,437540.21,C612891432,302175.15,739715.37,C220882828,638460.88,200920.67
409,CASH_IN,254004.73,C1074568220,739715.37,993720.09,C2110835918,1879203.25,1625198.53
409,CASH_IN,159110.69,C1757502302,993720.09,1152830.78,C1750003248,1272356.57,1113245.88
409,CASH_IN,144200.53,C117580631,1152830.78,1297031.31,C354061541,1451342.87,1307142.34
409,CASH_IN,327015.16,C474469924,1297031.31,1624046.47,C1491851838,3521805.08,3194789.92
409,CASH_IN,96568.65,C948917708,1624046.47,1720615.12,C380621135,494889.6,398320.95
409,CASH_IN,194864.85,C1517744680,1720615.12,1915479.97,C1537774632,1193165.85,998301.0
409,CASH_IN,85410.98,C1291352746,1915479.97,2000890.95,C1411859078,806889.59,721478.62
409,CASH_IN,108095.51,C1856791527,2000890.95,2108986.46,C1802018127,1519481.42,1411385.91
409,CASH_IN,106332.93,C743406283,2108986.46,2215319.39,C1285540740,673933.74,567600.8
409,CASH_IN,144078.39,C1095056088,2215319.39,2359397.79,C518925894,1884807.92,1740729.53
409,CASH_IN,267649.53,C1315386736,2359397.79,2627047.32,C167291983,874380.11,606730.58
409,CASH_IN,593856.28,C1138349056,2627047.32,3220903.59,C1539831881,709543.33,115687.05
409,CASH_IN,197728.21,C345466770,3220903.59,3418631.8,C1062840793,856842.49,659114.29
409,CASH_IN,211837.32,C2087459874,3418631.8,3630469.12,C1345778311,706014.38,494177.06
409,CASH_IN,270133.66,C198670954,3630469.12,3900602.78,C1278912378,1013897.73,743764.07
409,CASH_IN,372206.75,C103007940,3900602.78,4272809.53,C923510311,2441609.59,2069402.83
409,CASH_IN,88764.98,C698849893,4272809.53,4361574.51,C1924120415,458883.04,370118.05
409,CASH_IN,65669.8,C901127807,4361574.51,4427244.31,C2130923063,291442.37,225772.56
409,CASH_IN,143939.8,C92415625,4427244.31,4571184.11,C5350453,8061245.55,7917305.75
409,CASH_IN,124537.36,C495961371,4571184.11,4695721.47,C968755158,784390.73,659853.37
409,CASH_IN,6734.85,C149819517,4695721.47,4702456.33,C247459216,179489.19,172754.33
