step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
458,PAYMENT,173.45,C1896337805,117199.0,117025.55,M107529093,0.0,0.0
458,PAYMENT,2089.0,C1047508213,290705.0,288616.0,M686026535,0.0,0.0
458,TRANSFER,644542.99,C1730660367,288616.0,0.0,C692921734,1.139901412E7,1.204355711E7
458,TRANSFER,1499311.22,C663964549,0.0,0.0,C1357469124,1661306.98,3160618.2
458,TRANSFER,2919673.54,C1687722910,0.0,0.0,C1446674420,1.249688966E7,1.541656321E7
458,TRANSFER,425744.6,C1404422909,0.0,0.0,C1493756800,2148987.15,2574731.75
458,PAYMENT,338.46,C168498996,640.0,301.54,M930720403,0.0,0.0
458,PAYMENT,7953.33,C387810185,203596.0,195642.67,M1778532789,0.0,0.0
458,PAYMENT,1706.47,C945969526,195642.67,193936.2,M1119175131,0.0,0.0
458,PAYMENT,4397.41,C961516495,33506.0,29108.59,M1102607034,0.0,0.0
458,DEBIT,2469.56,C1799039506,419.0,0.0,C1061159450,260269.82,262739.38
458,PAYMENT,2310.55,C65541431,143679.0,141368.45,M1182547822,0.0,0.0
458,PAYMENT,229.6,C1146333369,259215.0,258985.4,M1980391835,0.0,0.0
458,PAYMENT,5998.25,C898143168,4.0,0.0,M304635216,0.0,0.0
458,PAYMENT,366.52,C1265052108,41452.0,41085.48,M1858379650,0.0,0.0
458,CASH_OUT,84233.55,C530777865,10873.0,0.0,C1406208946,7280.17,91513.72
458,DEBIT,229.39,C1328614256,209571.0,209341.61,C1925511667,1904161.73,1904391.12
458,CASH_OUT,80295.82,C1030386195,304834.0,224538.18,C1191715113,699631.67,779927.49
458,PAYMENT,5023.45,C2006504115,224538.18,219514.74,M1887700998,0.0,0.0
458,PAYMENT,14770.47,C933885933,219514.74,204744.27,M1505620449,0.0,0.0
458,PAYMENT,15089.63,C1744944431,204744.27,189654.63,M940923921,0.0,0.0
458,PAYMENT,9404.07,C1090245217,189654.63,180250.57,M1988034918,0.0,0.0
458,PAYMENT,7991.16,C326246979,180250.57,172259.4,M18158056,0.0,0.0
458,PAYMENT,54539.11,C526623601,172259.4,117720.29,M295298506,0.0,0.0
458,PAYMENT,2476.95,C335261056,117720.29,115243.34,M986215494,0.0,0.0
458,PAYMENT,19971.82,C951197765,115243.34,95271.53,M1717249324,0.0,0.0
458,PAYMENT,19873.22,C679613386,95271.53,75398.31,M1368471768,0.0,0.0
458,PAYMENT,6607.49,C2022214311,75398.31,68790.82,M1195746015,0.0,0.0
458,PAYMENT,7244.71,C2137126334,68790.82,61546.11,M669930866,0.0,0.0
458,PAYMENT,4015.37,C462368410,61546.11,57530.74,M1907762286,0.0,0.0
458,PAYMENT,2275.35,C17490915,57530.74,55255.38,M1419404149,0.0,0.0
458,DEBIT,361.15,C906198146,11208.0,10846.85,C589046153,109379.13,109740.28
458,CASH_OUT,166141.58,C1985391480,10846.85,0.0,C1781282087,175599.35,341740.93
458,PAYMENT,6196.86,C538266538,212692.0,206495.14,M663946518,0.0,0.0
458,PAYMENT,4372.49,C182028810,37743.0,33370.51,M1226308930,0.0,0.0
458,DEBIT,803.3,C1138075601,21161.0,20357.7,C1051736283,3526736.38,3527539.67
458,PAYMENT,312.4,C2094117128,2693.0,2380.6,M975105346,0.0,0.0
458,PAYMENT,5668.23,C1276508846,118224.0,112555.77,M579872722,0.0,0.0
458,PAYMENT,37445.55,C1396218745,112555.77,75110.21,M511776929,0.0,0.0
458,PAYMENT,4041.58,C2099396949,3566.0,0.0,M1588545428,0.0,0.0
458,PAYMENT,2750.32,C1239149675,257431.0,254680.68,M1594470881,0.0,0.0
458,PAYMENT,5312.36,C818834364,254680.68,249368.32,M351869398,0.0,0.0
458,PAYMENT,1642.83,C47646614,13520.0,11877.17,M281229460,0.0,0.0
458,PAYMENT,3814.9,C1393767099,307.0,0.0,M259569318,0.0,0.0
458,PAYMENT,3083.93,C891943784,0.0,0.0,M1017602753,0.0,0.0
458,PAYMENT,86.09,C1986730244,0.0,0.0,M1022119145,0.0,0.0
458,TRANSFER,297962.62,C1180963495,51579.0,0.0,C342381899,1173850.99,1471813.61
458,PAYMENT,23126.6,C1095946688,0.0,0.0,M1868514263,0.0,0.0
458,PAYMENT,2821.24,C822792657,342562.0,339740.76,M1461521533,0.0,0.0
458,PAYMENT,22071.77,C1448847,339740.76,317668.99,M356688289,0.0,0.0
458,PAYMENT,2655.75,C1923186305,106098.0,103442.25,M1306585676,0.0,0.0
458,PAYMENT,2430.13,C2107263516,14467.0,12036.87,M2111157159,0.0,0.0
458,PAYMENT,14955.79,C83464170,12036.87,0.0,M1308731315,0.0,0.0
458,PAYMENT,1488.94,C1642389189,50084.0,48595.06,M838599125,0.0,0.0
458,PAYMENT,1393.38,C2033340127,31019.0,29625.62,M986534517,0.0,0.0
458,PAYMENT,3273.8,C2098770207,2014.0,0.0,M750515648,0.0,0.0
458,TRANSFER,106039.15,C1200886334,15011.0,0.0,C114280409,402483.98,508523.13
458,CASH_OUT,42111.26,C396013123,109026.0,66914.74,C2059349743,311988.12,354099.38
458,PAYMENT,2440.91,C791832038,66914.74,64473.83,M1549045813,0.0,0.0
458,PAYMENT,862.74,C993422435,2227.0,1364.26,M2040276464,0.0,0.0
458,PAYMENT,2498.21,C1170043504,34205.0,31706.79,M1024493514,0.0,0.0
458,PAYMENT,5555.68,C894284159,42034.0,36478.32,M770093443,0.0,0.0
458,DEBIT,264.0,C65435837,326.0,62.0,C1944742951,622992.27,623256.27
458,PAYMENT,2858.61,C988910044,127416.0,124557.39,M1659832756,0.0,0.0
458,PAYMENT,6518.51,C2048771779,124557.39,118038.89,M1250847405,0.0,0.0
458,PAYMENT,1734.79,C2093444433,151492.0,149757.21,M1719626196,0.0,0.0
458,PAYMENT,438.78,C1916833798,4583.0,4144.22,M1268926433,0.0,0.0
458,PAYMENT,1342.32,C206046753,3461.0,2118.68,M300220341,0.0,0.0
458,PAYMENT,5768.98,C1733463343,94830.0,89061.02,M1050035051,0.0,0.0
458,PAYMENT,3371.33,C1923294102,9049.0,5677.67,M1141666592,0.0,0.0
458,PAYMENT,5650.91,C927249787,199546.0,193895.09,M1002776035,0.0,0.0
458,PAYMENT,5393.57,C1351683742,193895.09,188501.52,M1998844639,0.0,0.0
458,PAYMENT,2553.94,C1709076013,1117.0,0.0,M1999021384,0.0,0.0
458,DEBIT,548.83,C798728396,21022.0,20473.17,C1095840748,87261.36,87810.19
458,PAYMENT,4133.4,C1204161258,73785.0,69651.6,M1367321401,0.0,0.0
458,PAYMENT,4411.85,C330385595,377.0,0.0,M1633552321,0.0,0.0
458,PAYMENT,1860.18,C381210714,69833.0,67972.82,M976390103,0.0,0.0
458,PAYMENT,1695.54,C601875642,372.0,0.0,M850300687,0.0,0.0
458,PAYMENT,7412.96,C1657058048,122963.0,115550.04,M1281789104,0.0,0.0
458,PAYMENT,2076.46,C272653234,105433.0,103356.54,M1456502850,0.0,0.0
458,PAYMENT,782.37,C298556715,136228.0,135445.63,M1764790446,0.0,0.0
458,PAYMENT,2409.57,C2076171249,107361.0,104951.43,M779665068,0.0,0.0
458,CASH_OUT,289822.59,C1662475405,104951.43,0.0,C711872033,942012.17,1231834.75
458,PAYMENT,14.37,C248448417,5073.0,5058.63,M195704794,0.0,0.0
458,PAYMENT,2151.2,C1624008157,13320.0,11168.8,M971423357,0.0,0.0
458,CASH_OUT,70927.19,C1332893421,349020.0,278092.81,C785828386,231819.71,302746.9
458,PAYMENT,12277.61,C356297790,278092.81,265815.2,M375243209,0.0,0.0
458,PAYMENT,2068.52,C204582316,11713.0,9644.48,M731374119,0.0,0.0
458,PAYMENT,29151.21,C1730283763,9644.48,0.0,M1404639400,0.0,0.0
458,PAYMENT,78.86,C1382319038,171525.0,171446.14,M1190577423,0.0,0.0
458,PAYMENT,17910.04,C837036210,171446.14,153536.1,M704846462,0.0,0.0
458,PAYMENT,2308.06,C1552684531,20186.0,17877.94,M740453840,0.0,0.0
458,PAYMENT,1872.58,C1007903070,254223.0,252350.42,M250698824,0.0,0.0
458,PAYMENT,212.5,C846132200,321565.0,321352.5,M228410520,0.0,0.0
458,CASH_IN,161105.71,C706989540,321352.5,482458.22,C1898288372,3875853.39,3714747.68
458,CASH_IN,13453.27,C783603700,482458.22,495911.49,C618131414,107470.16,94016.89
458,CASH_IN,245518.28,C1803587705,495911.49,741429.77,C145807878,4323045.69,4077527.41
458,CASH_IN,46513.96,C215920661,741429.77,787943.73,C951434992,70779.94,24265.98
458,CASH_IN,119386.84,C942018695,787943.73,907330.57,C1438345459,1951324.27,1831937.43
458,CASH_IN,4315.14,C816151296,907330.57,911645.71,C1532763473,1.90526487E7,1.904833356E7
458,CASH_IN,127169.84,C1598629429,911645.71,1038815.55,C1351523979,130143.0,2973.16
458,CASH_IN,196872.3,C653163473,1038815.55,1235687.85,C783892825,413074.97,216202.66
458,CASH_IN,87745.99,C784659875,1235687.85,1323433.84,C1243611330,272978.17,185232.18
458,CASH_IN,68986.94,C899868160,1323433.84,1392420.78,C1458784580,1.828346509E7,1.821447816E7
458,CASH_IN,568081.24,C592184847,1392420.78,1960502.01,C1816986148,1.565026722E7,1.508218598E7
458,CASH_IN,38509.0,C1982447940,1960502.01,1999011.02,C1520553675,504783.48,466274.48
458,CASH_IN,108086.06,C2143898575,1999011.02,2107097.07,C1403026775,2811175.51,2703089.46
458,CASH_IN,354487.99,C1576607952,2107097.07,2461585.06,C303287148,569786.16,215298.17
458,CASH_IN,126138.35,C516303134,2461585.06,2587723.41,C1127924638,947146.62,821008.27
458,CASH_IN,48692.49,C652077155,2587723.41,2636415.9,C14971823,121305.69,72613.2
458,CASH_IN,110452.78,C335497284,2636415.9,2746868.68,C1898711660,212334.97,101882.19
