step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
372,CASH_OUT,349908.54,C1036805498,46215.0,0.0,C706208936,0.0,349908.54
372,CASH_IN,488521.38,C1082180001,105272.0,593793.38,C1126870501,127138.82,0.0
372,CASH_OUT,396199.69,C210378760,593793.38,197593.69,C523276296,8369627.93,8765827.63
372,CASH_OUT,417859.77,C2111318121,197593.69,0.0,C487041031,716702.78,1134562.56
372,TRANSFER,477780.9,C593585437,50142.0,0.0,C27177806,2871925.41,3349706.31
372,TRANSFER,1573083.34,C1705653529,81671.0,0.0,C825882008,115310.1,1688393.44
372,CASH_OUT,72793.78,C947766212,878.0,0.0,C568470212,0.0,72793.78
372,CASH_IN,24610.19,C81407938,62508.0,87118.19,C1991274247,0.0,0.0
372,CASH_OUT,103675.96,C742128585,6534.0,0.0,C1638319657,0.0,103675.96
372,PAYMENT,24329.48,C411894186,0.0,0.0,M1320719004,0.0,0.0
372,CASH_OUT,185860.96,C457773238,21696.0,0.0,C1517754546,956546.04,1142407.0
372,PAYMENT,10758.29,C1751078309,13487.0,2728.71,M405768533,0.0,0.0
372,CASH_IN,109462.07,C302630078,199702.0,309164.07,C1243813994,55541.87,0.0
372,CASH_OUT,132474.09,C1092008681,309164.07,176689.98,C501246138,1848028.34,1980502.43
372,CASH_OUT,84679.35,C1400257811,176689.98,92010.63,C2092998799,87815.95,172495.31
372,CASH_OUT,68009.2,C938959625,92010.63,24001.43,C1480956942,1799810.62,1867819.82
372,CASH_OUT,142403.33,C1795652989,24001.43,0.0,C1874808694,7952645.72,8095049.05
372,CASH_OUT,210669.1,C523391750,0.0,0.0,C1539335393,376808.85,587477.95
372,CASH_OUT,238117.4,C2110679894,0.0,0.0,C1992102774,1278508.45,1516625.84
372,CASH_OUT,11082.87,C1907204301,0.0,0.0,C1391199364,440871.46,451954.33
372,CASH_OUT,270015.6,C563201808,0.0,0.0,C1722687928,379107.81,649123.41
372,CASH_OUT,147558.73,C750127687,0.0,0.0,C1257534363,3567984.95,3715543.68
372,CASH_OUT,320312.65,C573329500,0.0,0.0,C676411430,4246314.12,4566626.77
372,CASH_OUT,193627.66,C1041966876,0.0,0.0,C977645064,349576.06,543203.72
372,CASH_OUT,182698.0,C287166088,0.0,0.0,C2092477952,584471.06,767169.06
372,CASH_OUT,335600.26,C233114334,0.0,0.0,C1126605815,648939.43,984539.68
372,CASH_OUT,412138.79,C1300956558,0.0,0.0,C1941915094,678106.64,1090245.43
372,CASH_OUT,447017.17,C709880036,0.0,0.0,C1768571590,1.434456656E7,1.479158373E7
372,CASH_OUT,117901.24,C1431902891,0.0,0.0,C1165667841,894482.11,1012383.36
372,CASH_OUT,375049.8,C1884244260,0.0,0.0,C1831798968,1136540.62,1511590.42
372,CASH_OUT,88327.78,C1711117782,0.0,0.0,C1918629619,777399.54,865727.32
372,CASH_OUT,290864.85,C807426373,0.0,0.0,C1164098498,318978.91,609843.75
372,CASH_OUT,284999.83,C766607784,0.0,0.0,C1730776320,1474493.6,1759493.43
372,CASH_OUT,496164.83,C666762067,0.0,0.0,C33951449,1515675.14,2011839.97
372,CASH_IN,179592.42,C778541399,57573.0,237165.42,C1594312615,0.0,0.0
372,PAYMENT,26644.14,C473892783,237165.42,210521.28,M1034053953,0.0,0.0
372,CASH_OUT,1151.79,C1972206277,363.0,0.0,C400190075,0.0,1151.79
372,CASH_OUT,241573.62,C1731389442,0.0,0.0,C1146988321,2079980.57,2321554.19
372,CASH_OUT,87431.75,C55871796,0.0,0.0,C1167320476,3090972.75,3178404.5
372,CASH_OUT,195419.77,C756158590,0.0,0.0,C1337692049,944982.34,1140402.12
372,CASH_OUT,215705.14,C869735499,0.0,0.0,C301513032,3922738.75,4138443.89
372,CASH_OUT,236768.09,C1138065611,0.0,0.0,C1731135675,331803.39,641100.92
372,CASH_OUT,50673.02,C1693428908,0.0,0.0,C436826353,316243.97,366916.99
372,CASH_OUT,110628.03,C1506001327,0.0,0.0,C49430269,441116.5,551744.53
372,CASH_OUT,124556.42,C1392360344,0.0,0.0,C590915649,474218.62,598775.04
372,CASH_OUT,114930.92,C1027717844,0.0,0.0,C2037947788,962011.55,1076942.47
372,CASH_OUT,252495.26,C609418012,0.0,0.0,C1802388358,1569939.9,1822435.16
372,CASH_OUT,204211.06,C1675335808,0.0,0.0,C1310926423,1465423.64,1669634.7
372,CASH_OUT,125082.11,C1548082712,0.0,0.0,C93044229,352840.76,477922.87
372,CASH_OUT,83098.32,C1826773086,0.0,0.0,C274890167,1545784.65,1628882.97
372,CASH_OUT,204583.34,C1599849669,0.0,0.0,C448240680,927892.96,1132476.3
372,CASH_OUT,127198.61,C1618692150,0.0,0.0,C215164317,779423.07,906621.68
372,CASH_OUT,59450.88,C314371903,0.0,0.0,C229532203,739866.41,799317.29
372,CASH_OUT,408198.91,C1826776478,0.0,0.0,C796253354,1203942.52,1612141.43
372,CASH_OUT,163603.82,C1830746411,0.0,0.0,C596686444,493825.43,657429.25
