step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
587,CASH_OUT,81679.12,C379103473,54.0,0.0,C1421964292,335054.52,416733.64
587,CASH_OUT,321449.12,C1403647663,50412.0,0.0,C475412407,0.0,321449.12
587,PAYMENT,401.91,C1671220279,0.0,0.0,M484386320,0.0,0.0
587,CASH_IN,229835.99,C1339284058,36215.0,266050.99,C860797308,94778.74,0.0
587,CASH_OUT,241899.15,C1397969281,23851.0,0.0,C45087428,72005.06,313904.21
587,PAYMENT,14331.01,C1445712552,0.0,0.0,M857833947,0.0,0.0
587,PAYMENT,12084.09,C1651608815,0.0,0.0,M728172153,0.0,0.0
587,PAYMENT,2647.79,C592527151,419.0,0.0,M474041799,0.0,0.0
587,CASH_IN,151408.23,C1924770900,59105.0,210513.23,C541536546,0.0,0.0
587,PAYMENT,5622.88,C1635657908,220.0,0.0,M1266469875,0.0,0.0
587,PAYMENT,8211.76,C1564837934,30095.0,21883.24,M1654736094,0.0,0.0
587,CASH_OUT,123456.86,C1913318326,21883.24,0.0,C1642642930,215681.78,339138.64
587,CASH_OUT,10517.73,C1594135895,85988.0,75470.27,C1385679948,1821443.74,1831961.46
587,PAYMENT,6146.34,C787571297,2507.0,0.0,M1184777429,0.0,0.0
587,CASH_OUT,262454.75,C1676427499,10270.0,0.0,C1198200181,238679.36,501134.11
587,CASH_OUT,277084.42,C406441964,90045.0,0.0,C1140953437,852894.5,1129978.92
587,PAYMENT,2723.86,C1040073952,5561.0,2837.14,M166860646,0.0,0.0
587,PAYMENT,5478.83,C135853483,2837.14,0.0,M1585974763,0.0,0.0
587,CASH_OUT,118881.11,C295607198,149.0,0.0,C791884678,0.0,118881.11
587,CASH_OUT,124502.94,C147777516,40298.0,0.0,C1416206868,0.0,124502.94
587,PAYMENT,15448.53,C1194651379,0.0,0.0,M1506624683,0.0,0.0
587,CASH_OUT,243306.43,C1021998695,30440.0,0.0,C8896761,16177.02,259483.45
587,CASH_OUT,85074.71,C1139021713,0.0,0.0,C580043911,125249.64,210324.36
587,TRANSFER,3951924.42,C600255080,935.0,0.0,C312215607,281044.69,4232969.11
587,CASH_IN,91799.89,C278715047,104443.0,196242.89,C2107442120,1524557.43,1432757.54
587,PAYMENT,11616.03,C2133516189,10632.0,0.0,M470882166,0.0,0.0
587,CASH_IN,255061.73,C111143670,147611.0,402672.73,C1736531239,1267627.01,1012565.28
587,PAYMENT,26999.85,C1889550688,71776.0,44776.15,M1499442910,0.0,0.0
587,PAYMENT,7202.05,C1298245668,23410.0,16207.95,M877667108,0.0,0.0
587,TRANSFER,349033.8,C1183436687,16207.95,0.0,C1184285344,961489.28,1310523.08
587,CASH_OUT,345827.98,C1644474590,199928.0,0.0,C430322201,0.0,345827.98
587,PAYMENT,26175.52,C585368626,0.0,0.0,M387467849,0.0,0.0
587,CASH_OUT,54386.36,C535108242,58453.0,4066.64,C408817524,0.0,54386.36
587,CASH_OUT,35535.98,C1486932976,79110.0,43574.02,C482129029,1128652.77,1164188.75
587,CASH_OUT,43446.49,C1516736834,43574.02,127.53,C45847097,117874.0,161320.48
587,CASH_OUT,125870.43,C259576389,127.53,0.0,C1342055686,7908604.68,8034475.11
587,CASH_OUT,63381.72,C956197042,667.0,0.0,C214396661,0.0,63381.72
587,CASH_IN,427609.93,C1717553942,1188.0,428797.93,C535425237,0.0,0.0
587,CASH_OUT,256268.07,C13941534,428797.93,172529.86,C1779605685,420214.09,676482.16
587,CASH_OUT,106693.91,C1240972219,172529.86,65835.94,C1592401810,1569122.06,1675815.97
587,CASH_OUT,87143.7,C34075087,65835.94,0.0,C1871429488,2115175.13,2202318.84
587,CASH_OUT,57612.04,C437816802,0.0,0.0,C855924399,156865.6,214477.64
587,CASH_OUT,162066.47,C1060227572,0.0,0.0,C495641626,4992507.62,5154574.09
587,CASH_OUT,22881.47,C1273989066,0.0,0.0,C1452192755,1181010.56,1203892.02
587,CASH_OUT,59132.11,C1985715953,0.0,0.0,C833236016,625441.7,684573.81
587,CASH_OUT,38175.91,C686975557,0.0,0.0,C1545599494,706371.02,744546.93
587,CASH_OUT,147373.37,C423459014,0.0,0.0,C137573653,194905.9,342279.27
587,CASH_OUT,19646.37,C777743868,0.0,0.0,C707281937,161398.46,181044.84
587,CASH_OUT,167224.78,C81646288,0.0,0.0,C1326618588,2278832.75,2446057.53
587,CASH_OUT,86125.85,C1069953100,0.0,0.0,C254940321,137653.47,223779.32
587,CASH_OUT,145513.29,C1297060922,0.0,0.0,C2082825347,249541.38,395054.67
587,CASH_OUT,45110.98,C948843746,0.0,0.0,C699640843,104067.77,149178.75
587,CASH_OUT,292887.04,C1378822769,0.0,0.0,C435299416,436095.04,728982.09
587,CASH_OUT,60820.6,C1558520872,0.0,0.0,C181244222,3127862.61,3188683.21
587,CASH_OUT,80724.26,C1840940490,0.0,0.0,C1706291478,295116.96,375841.22
587,CASH_OUT,190771.31,C618304955,0.0,0.0,C2087718118,202774.56,393545.88
587,CASH_OUT,147374.25,C252534771,0.0,0.0,C95039206,226165.37,373539.63
587,CASH_OUT,253663.34,C2059206238,0.0,0.0,C954234990,514313.5,767976.85
587,CASH_OUT,19859.12,C1125232662,0.0,0.0,C2142358614,1.994724961E7,1.996710873E7
587,CASH_OUT,120747.14,C857113218,0.0,0.0,C940918742,1459679.07,1580426.21
587,CASH_OUT,247587.38,C1451340244,0.0,0.0,C521018510,354282.2,601869.58
587,CASH_IN,300827.5,C1263729492,45338.0,346165.5,C1038401687,4710286.62,4409459.12
587,PAYMENT,27434.96,C84767528,11548.0,0.0,M42525593,0.0,0.0
587,PAYMENT,7857.38,C1507650829,0.0,0.0,M84419897,0.0,0.0
587,PAYMENT,1980.49,C1811059331,652.0,0.0,M782446671,0.0,0.0
587,PAYMENT,12758.94,C271123475,0.0,0.0,M1422707394,0.0,0.0
587,CASH_IN,159155.35,C735394898,10687.0,169842.35,C53220184,713014.65,553859.3
587,PAYMENT,1929.56,C482557999,49653.0,47723.44,M1150469688,0.0,0.0
587,TRANSFER,774626.74,C1991941810,47723.44,0.0,C1656795899,7023652.72,7798279.46
587,CASH_IN,55357.28,C1955531675,61381.0,116738.28,C949326047,234193.81,178836.53
587,PAYMENT,8515.64,C1925971741,116738.28,108222.63,M540689530,0.0,0.0
587,PAYMENT,22658.13,C47649217,11332.0,0.0,M235409875,0.0,0.0
587,PAYMENT,7621.23,C597046296,20701.0,13079.77,M1375579524,0.0,0.0
587,CASH_IN,404468.36,C1797191523,283135.0,687603.36,C1498876404,1594867.14,1190398.77
587,CASH_IN,231659.6,C634844506,149431.0,381090.6,C409688454,443960.4,212300.8
587,PAYMENT,11779.19,C938619660,381090.6,369311.4,M190786043,0.0,0.0
587,CASH_OUT,83959.12,C392585756,16103.0,0.0,C1557248041,549705.33,633664.45
587,CASH_IN,166297.69,C92809615,2276.0,168573.69,C691774218,0.0,0.0
587,PAYMENT,19972.31,C591663201,82815.0,62842.69,M1369892099,0.0,0.0
587,PAYMENT,12486.6,C1970543529,62842.69,50356.09,M838111449,0.0,0.0
587,TRANSFER,1226246.73,C850418078,17967.0,0.0,C1634677207,668246.31,1894493.05
587,CASH_OUT,37220.52,C1415064630,0.0,0.0,C980299287,107782.25,145002.78
587,CASH_IN,378095.31,C27581511,32381.0,410476.31,C1407176287,3135316.49,2757221.18
587,CASH_IN,275824.97,C348387058,20505.0,296329.97,C1094900488,1971213.64,1695388.68
587,TRANSFER,753399.02,C604971357,60358.0,0.0,C1080359287,0.0,753399.02
587,PAYMENT,11516.76,C832802934,0.0,0.0,M381826273,0.0,0.0
587,CASH_OUT,245951.83,C498934957,20238.0,0.0,C1840073352,102471.09,348422.92
587,TRANSFER,882946.2,C1080421262,0.0,0.0,C193442950,3807935.15,4690881.35
587,CASH_OUT,412476.99,C1835594708,363.0,0.0,C244828392,0.0,412476.99
587,CASH_IN,141334.68,C1779087268,210536.0,351870.68,C91987060,3032609.47,2891274.79
587,CASH_OUT,333896.33,C510033412,253376.0,0.0,C139950608,376893.26,710789.6
587,PAYMENT,6787.23,C1907417053,103.0,0.0,M1542218860,0.0,0.0
587,CASH_OUT,160380.3,C1692684066,0.0,0.0,C1543717199,550301.34,710681.64
587,TRANSFER,2046125.69,C1231002596,29793.0,0.0,C1488506414,0.0,2046125.69
587,CASH_OUT,95360.83,C1046936357,213.0,0.0,C806490688,6379188.52,6474549.35
587,PAYMENT,22615.79,C110176129,21235.0,0.0,M1087042862,0.0,0.0
587,CASH_OUT,24264.68,C1971308136,0.0,0.0,C1075438603,440991.92,465256.6
587,CASH_OUT,38446.7,C2085200945,62793.0,24346.3,C115961366,502698.53,541145.23
587,CASH_OUT,187582.06,C1944795414,354.0,0.0,C1257714974,0.0,187582.06
587,PAYMENT,6652.07,C1688191424,0.0,0.0,M1868044221,0.0,0.0
587,CASH_OUT,352919.6,C1585536587,80020.0,0.0,C248473512,2509370.38,2862289.98
587,PAYMENT,9322.71,C1946742532,0.0,0.0,M1854124420,0.0,0.0
587,PAYMENT,64502.47,C1103734294,0.0,0.0,M359582562,0.0,0.0
587,PAYMENT,18218.38,C640513540,0.0,0.0,M1431432404,0.0,0.0
