step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
155,TRANSFER,3956.84,C656050155,5688.0,1731.16,C97563241,0.0,3956.84
155,CASH_IN,205285.01,C1827601790,140687.0,345972.01,C681524118,1287349.21,1082064.2
155,CASH_IN,115664.4,C418148272,482108.0,597772.4,C1491420422,88137.73,0.0
155,CASH_OUT,335985.91,C1185122073,23654.0,0.0,C212588078,0.0,335985.91
155,TRANSFER,1633553.14,C896890361,12526.0,0.0,C1811261234,0.0,1633553.14
155,PAYMENT,12824.78,C778791716,106199.0,93374.22,M1426129078,0.0,0.0
155,CASH_IN,175353.24,C264298048,897.0,176250.24,C664036662,0.0,0.0
155,CASH_OUT,147044.89,C285522172,93952.0,0.0,C1967780152,1339242.41,1486287.3
155,CASH_OUT,241197.76,C1690551219,144.0,0.0,C570456432,2431726.14,2672923.9
155,TRANSFER,1055808.62,C966421293,0.0,0.0,C494058921,2178642.64,3234451.26
155,TRANSFER,446832.57,C815894656,0.0,0.0,C32043295,1214397.1,1661229.67
155,TRANSFER,516083.87,C72752432,0.0,0.0,C1215748320,627200.24,1143284.11
155,TRANSFER,795467.45,C2121435218,0.0,0.0,C490354376,2030345.12,3195100.01
155,TRANSFER,565330.49,C349915058,0.0,0.0,C952195866,1060113.48,1625443.97
155,TRANSFER,227389.4,C675475513,0.0,0.0,C1241447031,369647.65,597037.05
155,TRANSFER,614946.45,C482985884,0.0,0.0,C1123176234,1638284.63,3296510.74
155,TRANSFER,1659753.46,C1981021263,0.0,0.0,C1794194687,4358796.91,6018550.36
155,TRANSFER,12404.98,C943440872,0.0,0.0,C450862572,238302.92,250707.91
155,TRANSFER,122620.71,C122105838,0.0,0.0,C61969605,146762.97,269383.68
155,TRANSFER,114858.1,C1432419773,0.0,0.0,C1235746556,261849.23,376707.32
155,TRANSFER,191016.07,C1014534874,0.0,0.0,C2043363862,2176523.76,2367539.84
155,TRANSFER,117094.95,C1513763390,0.0,0.0,C944908968,3696047.05,3813142.0
155,CASH_IN,6745.11,C1681678024,10745.0,17490.11,C1220829382,226772.85,220027.73
155,CASH_OUT,154579.67,C912509671,7048.0,0.0,C1407790151,651150.41,805730.08
155,CASH_OUT,235747.43,C1316319411,35.0,0.0,C630577963,795385.97,1031133.4
155,PAYMENT,14549.11,C1163202689,20142.0,5592.89,M1125768445,0.0,0.0
155,CASH_IN,205935.12,C1803883147,520626.0,726561.12,C2033082253,1424550.41,1218615.29
155,CASH_IN,41288.73,C244324256,6039.0,47327.73,C879061391,1696848.53,1655559.8
155,PAYMENT,16823.09,C1663885291,47327.73,30504.63,M1851726151,0.0,0.0
155,TRANSFER,1167544.24,C764239693,21381.0,0.0,C743779439,0.0,1167544.24
155,CASH_OUT,404049.51,C590241867,16200.0,0.0,C1278097182,189202.07,593251.58
155,CASH_OUT,331539.51,C653795394,0.0,0.0,C1333366140,4124119.55,4455659.06
155,CASH_OUT,218450.71,C813400315,32375.0,0.0,C1756293130,176305.19,394755.9
155,TRANSFER,1799826.78,C2001458830,51984.0,0.0,C1455548348,254175.51,2054002.29
155,CASH_IN,35395.28,C666360852,11388.0,46783.28,C883502766,1.343014045E7,1.339474517E7
155,CASH_OUT,118646.65,C1076499088,10542.0,0.0,C171936618,3273580.26,3392226.91
155,TRANSFER,1584924.15,C742014518,32860.0,0.0,C172863746,0.0,1584924.15
155,PAYMENT,15387.46,C90989209,0.0,0.0,M480401756,0.0,0.0
155,CASH_OUT,494388.76,C202143434,35.0,0.0,C97187796,99551.48,593940.24
155,PAYMENT,7839.2,C1899639539,0.0,0.0,M396689127,0.0,0.0
155,PAYMENT,683.33,C432156150,0.0,0.0,M1981264418,0.0,0.0
155,PAYMENT,7858.44,C1452981177,0.0,0.0,M1727603787,0.0,0.0
155,PAYMENT,20089.03,C1851529471,0.0,0.0,M621883828,0.0,0.0
155,PAYMENT,2704.55,C651497948,0.0,0.0,M161591857,0.0,0.0
155,PAYMENT,30643.96,C129292314,0.0,0.0,M721737161,0.0,0.0
155,PAYMENT,10143.3,C634485380,0.0,0.0,M560292917,0.0,0.0
155,PAYMENT,19053.01,C11541515,0.0,0.0,M219626313,0.0,0.0
155,PAYMENT,17468.22,C591164725,0.0,0.0,M695396779,0.0,0.0
155,PAYMENT,8336.92,C690153674,0.0,0.0,M500909012,0.0,0.0
155,PAYMENT,7109.55,C1561204871,0.0,0.0,M1661963580,0.0,0.0
155,PAYMENT,16633.41,C1574260015,0.0,0.0,M441933986,0.0,0.0
155,PAYMENT,11066.0,C925927759,0.0,0.0,M684299512,0.0,0.0
155,PAYMENT,4460.07,C1602361595,0.0,0.0,M2121343449,0.0,0.0
155,PAYMENT,7769.37,C1295558057,0.0,0.0,M691181218,0.0,0.0
155,PAYMENT,1551.95,C1723340479,0.0,0.0,M288398424,0.0,0.0
155,PAYMENT,1537.18,C430794298,0.0,0.0,M613905451,0.0,0.0
155,PAYMENT,8829.27,C45913064,0.0,0.0,M402333115,0.0,0.0
155,PAYMENT,3853.29,C1704273352,0.0,0.0,M2050765693,0.0,0.0
