step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
285,PAYMENT,892.99,C2009416616,5059.0,4166.01,M1774159353,0.0,0.0
285,CASH_OUT,230771.36,C858285593,4166.01,0.0,C406883297,239959.54,470730.91
285,PAYMENT,2820.9,C471088099,80422.0,77601.1,M1100080074,0.0,0.0
285,CASH_OUT,75195.09,C1410610764,19944.0,0.0,C2141582703,7905056.88,7980251.98
285,PAYMENT,8229.45,C620530297,0.0,0.0,M428504614,0.0,0.0
285,PAYMENT,29254.83,C1472940398,29580.0,325.17,M580428685,0.0,0.0
285,PAYMENT,6137.27,C1651985125,15002.0,8864.73,M671497163,0.0,0.0
285,CASH_IN,225303.25,C621512604,374.0,225677.25,C1771110327,274527.58,49224.33
285,CASH_OUT,45954.56,C1114168443,173901.0,127946.44,C2059114269,0.0,45954.56
285,CASH_OUT,9316.11,C445683377,94966.0,85649.89,C1405868403,469712.73,479028.84
285,PAYMENT,536.27,C55656011,402.0,0.0,M2057273050,0.0,0.0
285,PAYMENT,9979.45,C2115043062,0.0,0.0,M1613482651,0.0,0.0
285,PAYMENT,7226.17,C1786905523,9967.0,2740.83,M1802160535,0.0,0.0
285,CASH_OUT,69805.42,C309624130,25119.0,0.0,C2055373979,0.0,69805.42
285,PAYMENT,21240.58,C741675653,20087.0,0.0,M1456476971,0.0,0.0
285,CASH_IN,4569.74,C1800097303,24900.0,29469.74,C214960140,0.0,0.0
285,CASH_OUT,86145.07,C1516544081,312415.0,226269.93,C284912134,0.0,86145.07
285,PAYMENT,1626.24,C1581330594,102316.0,100689.76,M148777226,0.0,0.0
285,CASH_OUT,71045.48,C961865200,15001.0,0.0,C1464755463,345871.9,416917.38
285,CASH_OUT,146905.23,C1179499683,24724.0,0.0,C1477837257,1488550.69,1635455.92
285,PAYMENT,4376.1,C291389672,10456.0,6079.9,M1748086192,0.0,0.0
285,PAYMENT,30069.43,C1985261091,6079.9,0.0,M1566031086,0.0,0.0
285,PAYMENT,14558.81,C1055780524,0.0,0.0,M1540655340,0.0,0.0
285,PAYMENT,26023.21,C144834563,0.0,0.0,M1760718133,0.0,0.0
285,PAYMENT,10983.98,C968586761,0.0,0.0,M1180113466,0.0,0.0
285,PAYMENT,14790.48,C1584249067,0.0,0.0,M621669846,0.0,0.0
285,PAYMENT,10034.54,C1197788224,0.0,0.0,M966563932,0.0,0.0
285,PAYMENT,9392.6,C168150372,0.0,0.0,M1085074095,0.0,0.0
285,PAYMENT,75070.34,C558573622,0.0,0.0,M2085100091,0.0,0.0
285,PAYMENT,9938.65,C1489161779,0.0,0.0,M2132586006,0.0,0.0
285,PAYMENT,27476.67,C133051227,0.0,0.0,M1003190367,0.0,0.0
285,PAYMENT,25991.79,C1966512707,0.0,0.0,M1874913005,0.0,0.0
285,PAYMENT,2451.27,C423781541,0.0,0.0,M2032922194,0.0,0.0
285,PAYMENT,139.62,C940476342,0.0,0.0,M1343351252,0.0,0.0
285,PAYMENT,34190.11,C1518127167,0.0,0.0,M2080629852,0.0,0.0
285,PAYMENT,35966.35,C821882717,0.0,0.0,M1870458847,0.0,0.0
285,PAYMENT,14225.73,C1409150783,0.0,0.0,M817877016,0.0,0.0
285,PAYMENT,7637.33,C1735280469,0.0,0.0,M1877233264,0.0,0.0
285,PAYMENT,9299.52,C1398591652,55126.0,45826.48,M489551303,0.0,0.0
285,PAYMENT,9609.72,C149704152,47644.0,38034.28,M1161168251,0.0,0.0
285,DEBIT,3864.47,C1884959881,10688.0,6823.53,C277821536,819790.0,823654.47
285,TRANSFER,518535.66,C44790920,6823.53,0.0,C2140082480,1.035537308E7,1.087390874E7
285,PAYMENT,644.82,C1757641608,45698.0,45053.18,M497788470,0.0,0.0
285,PAYMENT,1017.21,C1022637942,20009.0,18991.79,M1705118548,0.0,0.0
285,PAYMENT,3778.64,C374219603,61031.0,57252.36,M1444199866,0.0,0.0
285,CASH_OUT,139084.86,C1271299977,40466.0,0.0,C1008403772,165504.74,304589.6
285,CASH_IN,76852.41,C1045116174,166457.0,243309.41,C963238247,0.0,0.0
285,CASH_OUT,134241.49,C1509477679,23101.0,0.0,C1355785726,64381.04,198622.53
285,DEBIT,5003.42,C720523975,20175.0,15171.58,C1896145729,422287.69,427291.11
285,CASH_OUT,142660.92,C1378896423,15171.58,0.0,C1903505696,2.219181849E7,2.233447941E7
285,CASH_IN,9330.26,C892659242,54.0,9384.26,C106356227,393213.34,383883.08
285,CASH_IN,3555.12,C708498454,885.0,4440.12,C694323241,1976294.04,1972738.92
285,PAYMENT,184.66,C308731900,4552.0,4367.34,M1121439461,0.0,0.0
285,CASH_IN,123440.98,C1354786083,21507.0,144947.98,C1133761101,4640261.74,4516820.77
285,PAYMENT,738.32,C749109577,3210.0,2471.68,M135995934,0.0,0.0
285,PAYMENT,12484.11,C1959224606,2471.68,0.0,M670957528,0.0,0.0
285,CASH_OUT,72452.09,C1061785255,684.0,0.0,C1888595966,99578.6,172030.7
285,PAYMENT,536.61,C1855144066,5093.0,4556.39,M557004763,0.0,0.0
285,CASH_OUT,124289.06,C1769475866,3093.0,0.0,C474386576,0.0,124289.06
285,PAYMENT,5587.57,C448235556,452.0,0.0,M1859411104,0.0,0.0
285,CASH_IN,119131.91,C1457599310,19985.0,139116.91,C1772339740,9890862.39,9771730.48
285,PAYMENT,5452.76,C2135488087,139116.91,133664.16,M1503176498,0.0,0.0
285,PAYMENT,5509.69,C358990333,151.0,0.0,M1254222684,0.0,0.0
285,CASH_OUT,114732.82,C1912821277,30457.0,0.0,C89106090,0.0,114732.82
285,PAYMENT,6685.8,C1849609816,51869.0,45183.2,M1441763403,0.0,0.0
285,PAYMENT,6453.87,C271649441,45183.2,38729.33,M2028602628,0.0,0.0
285,PAYMENT,14892.47,C1623083087,50524.0,35631.53,M1241178587,0.0,0.0
285,PAYMENT,567.11,C1359384135,30275.0,29707.89,M2045539142,0.0,0.0
285,CASH_IN,232930.03,C1803722756,638885.0,871815.03,C459575799,60055.44,0.0
285,PAYMENT,2869.2,C1978163350,14567.0,11697.8,M276413658,0.0,0.0
285,PAYMENT,3512.99,C177572816,11697.8,8184.81,M1953077254,0.0,0.0
285,CASH_IN,3848.49,C1110686413,74686.0,78534.49,C257326460,256042.69,252194.2
285,PAYMENT,16197.39,C527515965,13948.0,0.0,M966562312,0.0,0.0
285,PAYMENT,7246.94,C26051733,1524.0,0.0,M1589097403,0.0,0.0
285,TRANSFER,826688.6,C1272609273,1474.0,0.0,C1235198364,5042447.11,5869135.71
285,PAYMENT,14252.59,C378256984,0.0,0.0,M2068785456,0.0,0.0
285,CASH_IN,230973.18,C403077001,23822.0,254795.18,C1507533978,0.0,0.0
285,CASH_OUT,307415.66,C770241,9820.0,0.0,C485137395,0.0,307415.66
285,PAYMENT,15554.53,C1270470630,10874.0,0.0,M1228763400,0.0,0.0
285,PAYMENT,5830.34,C1647111577,166.0,0.0,M1023354069,0.0,0.0
285,CASH_OUT,65244.88,C964481611,1020.0,0.0,C924281759,0.0,65244.88
285,CASH_OUT,311991.84,C468406621,0.0,0.0,C950540455,1332110.4,1644102.24
285,CASH_OUT,80908.07,C514733980,0.0,0.0,C117712588,1462037.52,1542945.6
285,PAYMENT,909.93,C1530028304,25566.0,24656.07,M67309239,0.0,0.0
285,CASH_OUT,77869.91,C1159972563,24656.07,0.0,C318645506,259848.67,337718.58
285,PAYMENT,10965.68,C710810428,206020.0,195054.32,M1655494022,0.0,0.0
285,PAYMENT,6657.65,C2118523346,127575.0,120917.35,M629689751,0.0,0.0
285,PAYMENT,4656.02,C2136290785,120917.35,116261.34,M2068963176,0.0,0.0
285,PAYMENT,1882.7,C890753369,116261.34,114378.64,M1385485977,0.0,0.0
285,PAYMENT,12282.36,C79170327,114378.64,102096.28,M1910980215,0.0,0.0
285,PAYMENT,9675.07,C2054267915,102096.28,92421.21,M237340098,0.0,0.0
