step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
384,PAYMENT,856.26,C1313287211,41625.0,40768.74,M35864941,0.0,0.0
384,PAYMENT,9751.52,C1208543866,40768.74,31017.22,M396796734,0.0,0.0
384,PAYMENT,46714.49,C1618473877,31017.22,0.0,M2026368735,0.0,0.0
384,PAYMENT,3455.84,C1997766791,11325.0,7869.16,M1435398664,0.0,0.0
384,PAYMENT,6817.78,C171628663,20409.0,13591.22,M1305243385,0.0,0.0
384,PAYMENT,8156.88,C649123967,12090.0,3933.12,M581779,0.0,0.0
384,PAYMENT,7738.69,C1554872709,15627.0,7888.31,M1924689743,0.0,0.0
384,PAYMENT,6688.59,C1391141447,963.0,0.0,M362826993,0.0,0.0
384,PAYMENT,2334.32,C586575505,169480.0,167145.68,M319139735,0.0,0.0
384,CASH_IN,100390.24,C410476202,11182.0,111572.24,C689331267,14883.45,0.0
384,PAYMENT,3654.85,C254238353,49587.0,45932.15,M515123970,0.0,0.0
384,PAYMENT,2293.09,C544429652,26703.0,24409.91,M39051006,0.0,0.0
384,PAYMENT,11188.9,C926272499,11355.0,166.1,M149297708,0.0,0.0
384,PAYMENT,2406.83,C849161362,1972.0,0.0,M774221841,0.0,0.0
384,PAYMENT,16275.9,C936811637,628.0,0.0,M265934809,0.0,0.0
384,PAYMENT,8323.16,C1417384716,30652.0,22328.84,M1465713834,0.0,0.0
384,PAYMENT,5705.8,C1424695040,417013.0,411307.2,M357395803,0.0,0.0
384,PAYMENT,9187.67,C489058061,14796.0,5608.33,M576798807,0.0,0.0
384,PAYMENT,10012.44,C780027908,101636.0,91623.56,M1353178917,0.0,0.0
384,PAYMENT,5683.91,C2128059451,239551.0,233867.09,M1453070414,0.0,0.0
384,PAYMENT,14744.84,C176051441,33039.0,18294.16,M1691286636,0.0,0.0
384,PAYMENT,5264.53,C649761418,1343.0,0.0,M282243195,0.0,0.0
384,PAYMENT,5627.45,C1760798540,164870.0,159242.55,M2068650914,0.0,0.0
384,PAYMENT,17318.02,C152168579,106949.0,89630.98,M205897906,0.0,0.0
384,TRANSFER,76354.47,C2038030257,10647.0,0.0,C627896023,262606.0,338960.47
384,PAYMENT,10329.4,C1786399543,4595.0,0.0,M1814688523,0.0,0.0
384,PAYMENT,847.62,C1321991788,11045.0,10197.38,M2046305363,0.0,0.0
384,CASH_IN,145820.63,C1105456040,10197.38,156018.01,C638049850,4122181.64,3976361.01
384,CASH_IN,307727.58,C1660021044,156018.01,463745.59,C1082241841,321338.84,13611.26
384,CASH_IN,46022.59,C1943552920,463745.59,509768.18,C1605502037,569103.27,523080.68
384,CASH_IN,55663.38,C1262103308,509768.18,565431.56,C582390673,89818.67,34155.29
384,CASH_IN,75893.76,C358233960,565431.56,641325.32,C1603937901,3377956.5,3302062.74
384,CASH_IN,79979.94,C2014303422,641325.32,721305.26,C93519564,81219.23,1239.29
384,CASH_IN,128317.64,C1232772260,721305.26,849622.9,C2073524652,174573.55,46255.91
384,DEBIT,4220.8,C1401072844,747.0,0.0,C1321240873,199013.83,203234.63
384,PAYMENT,2633.63,C388444323,120152.0,117518.37,M294370525,0.0,0.0
384,PAYMENT,8426.61,C201956852,14858.0,6431.39,M1252766837,0.0,0.0
384,DEBIT,6360.45,C1680291755,14606.0,8245.55,C1623485302,582716.04,589076.48
384,PAYMENT,5957.36,C671482534,100.0,0.0,M1755372655,0.0,0.0
384,PAYMENT,10481.45,C2143274258,29790.0,19308.55,M578305825,0.0,0.0
384,PAYMENT,3996.78,C980622074,4267.0,270.22,M1415510655,0.0,0.0
384,CASH_OUT,94596.22,C1430794931,877.0,0.0,C2080766436,270466.58,365062.8
384,PAYMENT,9544.99,C908762636,15355.0,5810.01,M338491129,0.0,0.0
384,PAYMENT,19117.44,C922905345,948.0,0.0,M592124664,0.0,0.0
384,PAYMENT,3074.05,C1106455139,30504.0,27429.95,M849057690,0.0,0.0
384,PAYMENT,34765.99,C384149675,27429.95,0.0,M1837296725,0.0,0.0
384,PAYMENT,7982.69,C897213364,1142.0,0.0,M1538463174,0.0,0.0
384,PAYMENT,10472.73,C1613254379,783.0,0.0,M439543551,0.0,0.0
