step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
548,CASH_OUT,106242.29,C1517752293,51884.0,0.0,C258855812,0.0,106242.29
548,PAYMENT,9471.74,C439368911,19959.0,10487.26,M2073331563,0.0,0.0
548,CASH_IN,18291.0,C598681481,4070.0,22361.0,C1966122756,262516.52,244225.52
548,PAYMENT,4714.82,C1095048254,1061.0,0.0,M1510508189,0.0,0.0
548,PAYMENT,6268.64,C91811176,9724.0,3455.36,M1597051169,0.0,0.0
548,PAYMENT,6681.8,C922501653,3455.36,0.0,M677250617,0.0,0.0
548,CASH_IN,105285.79,C1787805175,211.0,105496.79,C207753215,933483.32,828197.53
548,CASH_OUT,107130.77,C1029702046,103183.0,0.0,C1388475526,0.0,107130.77
548,TRANSFER,90390.79,C1775767757,565092.0,474701.21,C545973481,150889.9,241280.69
548,PAYMENT,21961.74,C829402113,474701.21,452739.47,M647548894,0.0,0.0
548,PAYMENT,7943.03,C457786978,22003.0,14059.97,M842949566,0.0,0.0
548,TRANSFER,171567.23,C2122174044,72461.0,0.0,C674027681,0.0,171567.23
548,TRANSFER,408847.37,C519772274,51814.0,0.0,C2097735239,0.0,408847.37
548,CASH_OUT,161513.13,C1339045785,0.0,0.0,C514797995,292674.33,454187.46
548,CASH_IN,144015.17,C238194254,10253.0,154268.17,C2092923466,334306.11,190290.94
548,CASH_IN,47222.71,C514703098,63753.0,110975.71,C339789812,0.0,0.0
548,TRANSFER,1264020.98,C1481838037,110975.71,0.0,C1216639122,2523933.06,3787954.04
548,TRANSFER,1564286.88,C384927161,0.0,0.0,C1059886384,1815964.89,3380251.77
548,TRANSFER,657311.67,C212548055,0.0,0.0,C1513429369,866282.02,1523593.68
548,TRANSFER,146091.88,C2139229398,0.0,0.0,C1601391248,2180040.11,2326131.99
548,TRANSFER,542517.36,C1073716054,0.0,0.0,C2107312286,2959738.86,3502256.22
548,TRANSFER,40926.89,C632884573,0.0,0.0,C1259445923,555660.74,596587.63
548,CASH_OUT,85569.77,C1888091580,22504.0,0.0,C1254242814,142129.98,227699.75
548,CASH_IN,85790.72,C520272839,25799.0,111589.72,C599856014,0.0,0.0
548,CASH_OUT,181180.58,C1558488666,111589.72,0.0,C1846690874,3309065.63,3490246.21
548,CASH_OUT,53783.17,C828021630,0.0,0.0,C506043423,87020.22,140803.39
548,CASH_IN,232429.21,C243393780,28320.0,260749.21,C525806747,660966.57,428537.37
548,PAYMENT,7789.65,C81242720,99286.0,91496.35,M2105019094,0.0,0.0
548,CASH_OUT,120078.87,C404549484,39299.0,0.0,C1316673521,1007492.99,1053297.61
548,PAYMENT,21724.55,C423304927,0.0,0.0,M537277234,0.0,0.0
548,PAYMENT,7995.89,C496350046,222908.0,214912.11,M1653430287,0.0,0.0
548,PAYMENT,2743.29,C595689319,260337.0,257593.71,M848254854,0.0,0.0
548,CASH_IN,215658.3,C36707786,38644.0,254302.3,C1353820367,1.074916937E7,1.053351107E7
548,PAYMENT,10692.72,C175464611,61919.0,51226.28,M581389517,0.0,0.0
548,CASH_OUT,115319.59,C1792810104,51568.0,0.0,C1437633106,5253238.44,5368558.03
548,TRANSFER,763926.59,C1744863908,20738.0,0.0,C2025353027,221069.48,984996.08
548,PAYMENT,847.75,C1230079871,42157.0,41309.25,M1367894972,0.0,0.0
548,CASH_IN,32065.49,C1530757673,94316.0,126381.49,C197568140,0.0,0.0
548,CASH_OUT,6491.52,C927215176,497796.0,491304.48,C1776379902,87996.71,94488.23
548,PAYMENT,8012.78,C1928015264,3191.0,0.0,M1613528522,0.0,0.0
548,TRANSFER,267925.76,C1463260972,60012.0,0.0,C2107476765,1.066489697E7,1.093282273E7
548,PAYMENT,7255.99,C1100465644,5552.0,0.0,M1782216275,0.0,0.0
548,CASH_OUT,411594.31,C1778091251,0.0,0.0,C1188916648,1.498769468E7,1.539928899E7
548,PAYMENT,13747.33,C43966487,217229.0,203481.67,M2103049485,0.0,0.0
548,CASH_OUT,25401.04,C1156092955,45732.0,20330.96,C699647446,120720.32,146121.36
