step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
613,TRANSFER,1425062.97,C1700849439,1425062.97,0.0,C1474364019,0.0,0.0
613,CASH_OUT,1425062.97,C792347661,1425062.97,0.0,C54004768,0.0,1425062.97
613,TRANSFER,980310.0,C1356928798,980310.0,0.0,C1467512212,0.0,0.0
613,CASH_OUT,980310.0,C12592309,980310.0,0.0,C1599619333,0.0,980310.0
613,TRANSFER,393699.17,C1660576685,393699.17,0.0,C521066417,0.0,0.0
613,CASH_OUT,393699.17,C530405843,393699.17,0.0,C1378380080,46379.95,440079.12
613,TRANSFER,170486.7,C1201464537,170486.7,0.0,C1785940596,0.0,0.0
613,CASH_OUT,170486.7,C1182303507,170486.7,0.0,C375702646,337632.83,508119.54
613,TRANSFER,1892137.66,C1387416875,1892137.66,0.0,C1999528314,0.0,0.0
613,CASH_OUT,1892137.66,C491775554,1892137.66,0.0,C901067372,200578.99,2092716.65
613,TRANSFER,1005365.24,C240430551,1005365.24,0.0,C541074037,0.0,0.0
613,CASH_OUT,1005365.24,C2007750863,1005365.24,0.0,C14584832,1698044.17,2703409.41
613,CASH_IN,73881.3,C925898756,37383.0,111264.3,C1145612853,211186.12,137304.82
613,TRANSFER,2155569.91,C1429181782,2155569.91,0.0,C1486162037,0.0,0.0
613,CASH_OUT,2155569.91,C2118037553,2155569.91,0.0,C1084525983,0.0,2155569.91
613,TRANSFER,51589.87,C1467642521,51589.87,0.0,C147964877,0.0,0.0
613,CASH_OUT,51589.87,C1614655562,51589.87,0.0,C644722343,0.0,51589.87
613,TRANSFER,327791.14,C1234242622,327791.14,0.0,C1163640582,0.0,0.0
613,CASH_OUT,327791.14,C1118147077,327791.14,0.0,C1575522252,175013.26,502804.4
613,TRANSFER,184099.19,C1188023922,975088.0,790988.81,C1409194460,627920.9,812020.09
613,CASH_OUT,131375.31,C1266518273,790988.81,659613.5,C959733752,197345.03,328720.34
613,CASH_OUT,163193.02,C181181612,659613.5,496420.48,C83748584,373805.02,536998.04
613,CASH_OUT,40870.67,C1687618122,496420.48,455549.81,C2036545707,77392.48,118263.15
613,CASH_OUT,105687.04,C1553202420,455549.81,349862.78,C889486355,516884.54,622571.58
613,CASH_OUT,176425.47,C2072069094,349862.78,173437.31,C86447678,183325.06,359750.53
613,CASH_OUT,207837.13,C356948422,173437.31,0.0,C302013789,1955506.15,2163343.28
613,CASH_OUT,14222.27,C1235180662,0.0,0.0,C2098222961,654059.51,668281.78
613,CASH_OUT,241365.49,C170421741,0.0,0.0,C570575580,750955.6,992321.09
613,CASH_OUT,268299.28,C2076672317,0.0,0.0,C1912988398,1471591.47,1739890.75
613,CASH_OUT,368205.26,C1525591850,0.0,0.0,C1794711160,904936.7,1273141.97
613,CASH_OUT,345586.26,C1772168429,0.0,0.0,C395339544,681549.19,1027135.46
613,CASH_OUT,229761.41,C548371249,0.0,0.0,C1424925917,1524482.81,1754244.22
613,CASH_OUT,38669.5,C1730594928,0.0,0.0,C408009628,1738306.9,1776976.4
613,CASH_OUT,30042.77,C1209973825,0.0,0.0,C1258298371,1306057.97,1336100.74
613,CASH_OUT,66242.14,C678985699,0.0,0.0,C1971966226,2233124.16,2299366.3
613,CASH_OUT,12099.31,C1943400238,0.0,0.0,C1803424103,360222.06,372321.37
613,CASH_OUT,13019.67,C576834668,0.0,0.0,C205697015,53937.49,66957.16
613,CASH_OUT,86940.83,C522227925,0.0,0.0,C281814770,604226.59,691167.42
613,CASH_OUT,58368.63,C1959556021,0.0,0.0,C1885572056,262746.77,321115.4
613,CASH_OUT,118759.17,C683429533,0.0,0.0,C1763465591,641836.89,760596.06
613,CASH_OUT,67473.41,C68351306,0.0,0.0,C1308672809,1167832.58,1235305.98
613,CASH_OUT,329212.42,C531589925,0.0,0.0,C1638344728,546337.1,875549.52
613,CASH_OUT,366386.67,C149545662,0.0,0.0,C2021088449,7235543.33,7601930.0
613,TRANSFER,86002.09,C1114344856,86002.09,0.0,C942119622,0.0,0.0
613,CASH_OUT,86002.09,C1363187770,86002.09,0.0,C1320785064,0.0,86002.09
