step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
496,CASH_IN,360675.2,C1371845401,41554.0,402229.2,C507538622,6517990.25,6157315.05
496,CASH_OUT,181119.9,C1398742955,50330.0,0.0,C1509266450,0.0,181119.9
496,PAYMENT,12940.9,C2112884873,0.0,0.0,M358362974,0.0,0.0
496,CASH_IN,17922.62,C1643387543,10934.0,28856.62,C702703980,4178417.42,4160494.8
496,CASH_OUT,249775.25,C1249768261,5550.0,0.0,C351916379,0.0,249775.25
496,CASH_IN,178901.91,C930404059,22029.0,200930.91,C1437780243,0.0,0.0
496,CASH_OUT,224689.04,C1126574516,25036.0,0.0,C976447979,0.0,224689.04
496,CASH_OUT,199300.23,C46638053,81920.0,0.0,C1361454601,5677033.11,5876333.34
496,CASH_IN,320727.99,C663064355,514.0,321241.99,C1282786939,0.0,0.0
496,CASH_OUT,100374.94,C920012550,10997.0,0.0,C1427572656,490556.97,590931.91
496,CASH_OUT,273757.84,C1154462689,5076.0,0.0,C577280630,731516.87,1005274.71
496,CASH_OUT,351710.03,C2074671126,72123.0,0.0,C1856497365,2819122.57,3170832.6
496,CASH_IN,137903.38,C1885314263,16993.0,154896.38,C1459470241,382965.01,245061.63
496,CASH_OUT,47393.05,C1958022061,154896.38,107503.33,C184435898,938804.92,986197.97
496,CASH_OUT,83934.43,C1297935969,107503.33,23568.9,C894423427,1825964.08,1909898.51
496,CASH_OUT,164869.68,C1896404884,688906.0,524036.32,C1640608105,1883079.79,2047949.47
496,CASH_IN,237187.11,C2101171270,2019.0,239206.11,C15517323,0.0,0.0
496,DEBIT,2068.24,C554291247,185647.0,183578.76,C1902078928,531701.31,533769.54
496,CASH_OUT,191004.28,C185339273,45285.0,0.0,C1377667139,586535.61,777539.9
496,PAYMENT,2732.87,C1007673099,0.0,0.0,M721888168,0.0,0.0
496,PAYMENT,2909.18,C1147147855,21035.0,18125.82,M803945231,0.0,0.0
496,CASH_OUT,330986.33,C1834901118,243.0,0.0,C282636336,89298.34,420284.67
496,TRANSFER,855849.71,C2144746014,13654.0,0.0,C1529455244,0.0,855849.71
496,TRANSFER,547246.21,C994085317,300.0,0.0,C986522213,330224.29,877470.51
496,CASH_IN,409587.96,C1300627169,20671.0,430258.96,C1702951710,0.0,0.0
496,CASH_IN,216158.75,C1379394689,10159.0,226317.75,C1941552235,0.0,0.0
496,CASH_OUT,139119.27,C486486547,800.0,0.0,C1771702732,384144.16,523263.43
496,CASH_IN,398740.9,C600743656,99852.0,498592.9,C1098429529,24212.41,0.0
496,CASH_IN,328807.37,C1096687238,51544.0,380351.37,C188294254,31064.94,0.0
496,TRANSFER,748863.16,C740358592,21085.0,0.0,C283782906,0.0,748863.16
496,PAYMENT,24393.47,C1235888637,12589.0,0.0,M516212734,0.0,0.0
496,PAYMENT,3233.58,C794771598,0.0,0.0,M68833884,0.0,0.0
496,CASH_OUT,194594.47,C484927203,141415.0,0.0,C17346109,0.0,194594.47
496,TRANSFER,928428.05,C606386614,56080.0,0.0,C1322974321,0.0,928428.05
496,CASH_OUT,92901.2,C1907017356,154.0,0.0,C752847154,7970633.99,8063535.2
496,PAYMENT,5050.11,C661975639,1000.0,0.0,M219172,0.0,0.0
496,PAYMENT,10439.6,C23832731,20854.0,10414.4,M651333788,0.0,0.0
496,PAYMENT,1733.67,C649345115,10414.4,8680.73,M1022138065,0.0,0.0
