step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
497,TRANSFER,2123610.45,C1534934111,2123610.45,0.0,C1232151858,0.0,0.0
497,CASH_OUT,2123610.45,C1062431728,2123610.45,0.0,C1354064635,1234419.45,3358029.9
497,TRANSFER,1939519.45,C673357794,1939519.45,0.0,C497497385,0.0,0.0
497,CASH_OUT,1939519.45,C1454351572,1939519.45,0.0,C93303375,38036.62,1977556.07
497,TRANSFER,1416055.74,C1046272255,1416055.74,0.0,C1677911450,0.0,0.0
497,CASH_OUT,1416055.74,C2115602581,1416055.74,0.0,C1565972600,4392650.62,5808706.35
497,TRANSFER,1.0E7,C557530807,1.369542998E7,3695429.98,C1466553904,0.0,0.0
497,CASH_OUT,1.0E7,C25889412,1.0E7,0.0,C1671906752,714460.87,1.071446087E7
497,TRANSFER,3695429.98,C1497936234,3695429.98,0.0,C305200409,0.0,0.0
497,CASH_OUT,3695429.98,C1797769206,3695429.98,0.0,C676671018,223917.78,3919347.75
497,TRANSFER,462441.03,C328303267,462441.03,0.0,C1304018729,0.0,0.0
497,CASH_OUT,462441.03,C1243051391,462441.03,0.0,C654276349,94616.19,557057.21
497,TRANSFER,1177100.83,C1455972022,1177100.83,0.0,C811273575,0.0,0.0
497,CASH_OUT,1177100.83,C59063278,1177100.83,0.0,C2038304513,0.0,1177100.83
497,TRANSFER,918087.96,C480126375,918087.96,0.0,C1995515228,0.0,0.0
497,CASH_OUT,918087.96,C1842546630,918087.96,0.0,C1559008731,322224.88,1240312.84
497,TRANSFER,224570.45,C2046482724,224570.45,0.0,C2067556284,0.0,0.0
497,CASH_OUT,224570.45,C1401604030,224570.45,0.0,C1193568854,7449938.25,7674508.7
497,TRANSFER,141586.27,C1045717877,141586.27,0.0,C2003987697,0.0,0.0
497,CASH_OUT,141586.27,C1263320654,141586.27,0.0,C135650185,0.0,141586.27
